#
 0,     warm4/exploit,25,  0.05,  0.01, -*-------------     |                   ,  0.04,  0.29, 49.58
 0,     warm4/exploit,30,  0.06,  0.14, -*       ---------- |                   ,  0.02,  0.47, 47.91
 0,     warm4/exploit,20,  0.06,  0.14, - *      ------     |                   ,  0.02,  0.36, 50.00
 0,            random,30,  0.07,  0.01,  -*-                |                   ,  0.04,  0.10, 0.00
#
 1,           exploit,30,  0.07,  0.24, - *            -----|----               ,  0.04,  0.58, 2.42
 1,     warm4/explore,25,  0.08,  0.03,  - *-------         |                   ,  0.04,  0.30, 47.98
 1,     warm4/explore,30,  0.08,  0.17,    *       ------   |                   ,  0.04,  0.34, 49.60
 1,     warm4/explore,20,  0.08,  0.09, -- *   ----------   |                   ,  0.02,  0.33, 52.03
 1,           exploit,25,  0.08,  0.14,  - *      -----     |                   ,  0.04,  0.30, 1.96
 1,            random,25,  0.08,  0.04,  - *--------        |                   ,  0.02,  0.30, 0.00
 1,               rrp,13,  0.11,  0.12,  -  *    -----------|-----------        ,  0.05,  0.70, 2.38
#
 2,            random,20,  0.12,  0.15,   -  *      -----   |                   ,  0.05,  0.33, 0.00
#
 3,           exploit,20,  0.19,  0.24, -        *     -----|-----------        ,  0.02,  0.59, 1.43
 3,           explore,25,  0.20,  0.24,   -       *      ---|-----------        ,  0.05,  0.58, 1.94
 3,           explore,30,  0.21,  0.23,  -        *     ----|------------       ,  0.05,  0.59, 2.43
 3,           explore,20,  0.26,  0.19,  ----        *  ----|--------           ,  0.04,  0.58, 1.46
#
 4,        baseline,3840,  0.60,  0.03,                     |            *----- ,  0.56,  0.71, 0.01
