#
 0,     warm4/exploit,30,  0.04,  0.02, -*-------------     |                   ,  0.01,  0.34, 39.74
 0,     warm4/explore,30,  0.05,  0.08,   *   --            |                   ,  0.03,  0.37, 40.06
 0,     warm4/explore,25,  0.07,  0.10,    *   ------       |                   ,  0.03,  0.50, 42.47
 0,     warm4/exploit,20,  0.08,  0.10, -  *   -----------  |                   ,  0.01,  0.37, 42.30
 0,     warm4/exploit,25,  0.08,  0.15,    *     -----------|                   ,  0.01,  0.39, 41.29
 0,     warm4/explore,20,  0.09,  0.09,  -  *  -------      |                   ,  0.01,  0.28, 39.79
#
 1,           exploit,20,  0.16,  0.21,     -   *        -- |                   ,  0.02,  0.35, 1.30
#
 2,           exploit,25,  0.16,  0.11,  ----   *  -------- |                   ,  0.03,  0.36, 1.82
 2,            random,30,  0.16,  0.14,  ----   *    ---    |                   ,  0.01,  0.30, 0.00
 2,            random,25,  0.19,  0.14,      --  *     ---- |                   ,  0.10,  0.36, 0.00
 2,           explore,30,  0.21,  0.22,    --      *      --|                   ,  0.03,  0.44, 2.15
#
 3,            random,20,  0.22,  0.12,    ------  *    --  |                   ,  0.05,  0.36, 0.00
 3,           exploit,30,  0.24,  0.22,   ---        *    --|--                 ,  0.02,  0.43, 2.14
 3,           explore,25,  0.26,  0.12,      ------   *   --|-------            ,  0.01,  0.67, 1.70
 3,           explore,20,  0.27,  0.17,     ----      *  ---|---                ,  0.05,  0.48, 1.27
 3,               rrp,12,  0.28,  0.19,    -----       *   -|-                  ,  0.01,  0.53, 1.87
#
 4,        baseline,2880,  0.67,  0.03,                     |             -- *- ,  0.43,  0.71, 0.00
