#
 0,     warm4/exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.10, 61.43
 0,     warm4/exploit,30,  0.00,  0.00, *--                 |                   ,  0.00,  0.10, 60.97
 0,     warm4/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.10, 63.07
 0,           exploit,25,  0.00,  0.00, *--                 |                   ,  0.00,  0.10, 1.51
 0,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 0.00
#
 1,            random,25,  0.01,  0.00, *                   |                   ,  0.00,  0.02, 0.00
 1,     warm4/explore,30,  0.01,  0.01, *                   |                   ,  0.00,  0.05, 65.30
 1,               rrp,11,  0.01,  0.00, *---                |                   ,  0.00,  0.10, 0.88
 1,            random,20,  0.01,  0.01, *                   |                   ,  0.00,  0.04, 0.00
#
 2,           explore,20,  0.01,  0.09, *  -                |                   ,  0.00,  0.11, 1.12
 2,     warm4/explore,25,  0.01,  0.10, *                   |                   ,  0.00,  0.11, 61.40
 2,     warm4/explore,20,  0.01,  0.10, *                   |                   ,  0.00,  0.11, 63.73
 2,           explore,30,  0.01,  0.09, *                   |                   ,  0.00,  0.12, 1.86
 2,           explore,25,  0.03,  0.10,  *                  |                   ,  0.00,  0.12, 1.60
 2,           exploit,20,  0.10,  0.09,    *                |                   ,  0.00,  0.11, 1.11
 2,           exploit,30,  0.10,  0.09,    *                |                   ,  0.00,  0.10, 1.87
 2,         baseline,864,  0.12,  0.21, ----*        -------|----------------   ,  0.00,  0.97, 0.00
