#
 0,     warm4/exploit,30,  0.13,  0.04, *---                |                   ,  0.12,  0.23, 47.59
 0,     warm4/exploit,25,  0.14,  0.07,  *  -               |                   ,  0.12,  0.25, 48.51
#
 1,     warm4/exploit,20,  0.15,  0.03, -*--                |                   ,  0.12,  0.24, 48.07
 1,            random,30,  0.15,  0.07,  * --               |                   ,  0.12,  0.31, 0.00
#
 2,           exploit,25,  0.17,  0.04, --* --              |                   ,  0.12,  0.25, 1.41
 2,     warm4/explore,20,  0.18,  0.06, --*  -              |                   ,  0.13,  0.28, 48.42
 2,     warm4/explore,25,  0.18,  0.07, --*  --             |                   ,  0.12,  0.27, 48.36
 2,     warm4/explore,30,  0.18,  0.06, --*  --             |                   ,  0.12,  0.27, 48.66
#
 3,            random,25,  0.18,  0.06, - * --              |                   ,  0.12,  0.27, 0.00
 3,           exploit,20,  0.19,  0.06,  - * --             |                   ,  0.12,  0.29, 1.21
 3,            random,20,  0.20,  0.05, --  *-              |                   ,  0.12,  0.27, 0.00
 3,           explore,30,  0.20,  0.06,     *--             |                   ,  0.12,  0.28, 1.83
#
 4,           exploit,30,  0.22,  0.07, --  *-              |                   ,  0.12,  0.31, 1.77
#
 5,           explore,20,  0.24,  0.05,  --- * --           |                   ,  0.12,  0.34, 1.06
 5,           explore,25,  0.25,  0.07,   --  *-            |                   ,  0.12,  0.30, 1.40
#
 6,               rrp,11,  0.26,  0.07,   --- * ---         |                   ,  0.16,  0.44, 0.82
#
 7,         baseline,972,  0.42,  0.10,          ---  *  ---|--                 ,  0.21,  0.93, 0.00
