#
 0,     warm4/exploit,25,  0.24,  0.00, *-                  |                   ,  0.23,  0.26, 88.42
 0,     warm4/exploit,20,  0.24,  0.01, *-----              |                   ,  0.23,  0.32, 88.89
 0,           exploit,30,  0.24,  0.01, *---                |                   ,  0.23,  0.33, 3.25
 0,     warm4/exploit,30,  0.24,  0.01, *-                  |                   ,  0.23,  0.27, 91.65
 0,           exploit,20,  0.24,  0.02, * --------------    |                   ,  0.23,  0.47, 2.00
#
 1,           exploit,25,  0.25,  0.03,  * --------         |                   ,  0.23,  0.43, 2.64
 1,               rrp,13,  0.25,  0.02,  *---------         |                   ,  0.23,  0.45, 5.04
 1,            random,30,  0.25,  0.01, -*-                 |                   ,  0.23,  0.27, 0.00
 1,            random,25,  0.25,  0.01, -*                  |                   ,  0.23,  0.27, 0.00
#
 2,     warm4/explore,25,  0.25,  0.02, -*--------          |                   ,  0.23,  0.38, 93.63
 2,            random,20,  0.26,  0.01,   *--               |                   ,  0.24,  0.47, 0.00
 2,     warm4/explore,20,  0.26,  0.01,   *-                |                   ,  0.23,  0.29, 91.20
 2,     warm4/explore,30,  0.26,  0.02, - *--               |                   ,  0.23,  0.36, 91.00
#
 3,           explore,30,  0.27,  0.04,  - * -------        |                   ,  0.23,  0.39, 3.25
 3,           explore,25,  0.28,  0.08,  -  *   --------    |                   ,  0.24,  0.48, 2.63
#
 4,           explore,20,  0.29,  0.07,   -  *  --          |                   ,  0.23,  0.44, 2.36
#
 5,        baseline,4608,  0.45,  0.18,   -------         * |   --------------  ,  0.23,  0.70, 0.01
