#
 0,            random,30,  0.07,  0.14,  - *      -         |                   ,  0.02,  0.28, 0.00
#
 1,           exploit,30,  0.17,  0.10,  ---    *-          |                   ,  0.02,  0.35, 3.48
 1,               rrp,14,  0.18,  0.14,   -      *--        |                   ,  0.02,  0.42, 5.99
 1,     warm4/exploit,20,  0.18,  0.02,  ------- *---       |                   ,  0.02,  0.30, 83.51
 1,     warm4/exploit,25,  0.19,  0.02,       -- *--        |                   ,  0.01,  0.34, 84.43
 1,     warm4/exploit,30,  0.19,  0.02,          *--------  |                   ,  0.03,  0.36, 81.06
 1,           exploit,25,  0.19,  0.03,  --------*--------  |                   ,  0.01,  0.38, 2.91
 1,            random,25,  0.20,  0.13,   --     *-         |                   ,  0.02,  0.38, 0.00
 1,            random,20,  0.21,  0.16,  ----     *  ----   |                   ,  0.02,  0.37, 0.00
#
 2,     warm4/explore,20,  0.21,  0.09,           *   ----  |                   ,  0.06,  0.38, 86.50
 2,           exploit,20,  0.21,  0.06,           * -----   |                   ,  0.06,  0.38, 2.12
#
 3,     warm4/explore,25,  0.22,  0.14,         --*      ---|                   ,  0.02,  0.40, 83.70
 3,     warm4/explore,30,  0.24,  0.12,             *  ---- |                   ,  0.05,  0.40, 86.29
#
 4,           explore,20,  0.26,  0.10,           -- *   -- |                   ,  0.06,  0.39, 2.12
#
 5,           explore,30,  0.27,  0.11,     -------- *   ---|                   ,  0.05,  0.59, 3.48
#
 6,           explore,25,  0.38,  0.07,            ------  *|-                  ,  0.04,  0.48, 2.86
#
 7,        baseline,6840,  0.40,  0.34,   --------          *       ----        ,  0.00,  0.79, 0.01
