#
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 151.18
 0,    LINEAR/exploit,20,  0.00,  0.09, *  ------           |                   ,  0.00,  0.28, 1.46
 0,       LLM/exploit,20,  0.00,  0.00, *--------           |                   ,  0.00,  0.23, 22.29
 0,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.06, 145.13
 0,           exploit,25,  0.00,  0.22, *                   |                   ,  0.00,  0.23, 1.00
 0,    LINEAR/exploit,25,  0.00,  0.00, *--------           |                   ,  0.00,  0.23, 1.21
 0,       LLM/exploit,25,  0.00,  0.06, * -------           |                   ,  0.00,  0.23, 20.47
 0,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 204.05
 0,           exploit,30,  0.00,  0.00, *--------           |                   ,  0.00,  0.30, 0.88
 0,    LINEAR/exploit,30,  0.00,  0.00, *------             |                   ,  0.00,  0.22, 1.12
 0,       LLM/exploit,30,  0.00,  0.06, * -------           |                   ,  0.00,  0.23, 21.08
#
 1,                rrp,9,  0.13,  0.18, --   *    --        |                   ,  0.00,  0.35, 0.22
 1,            random,30,  0.19,  0.14,   -    * ---        |                   ,  0.06,  0.29, 0.00
 1,            random,20,  0.22,  0.15,   -      *--        |                   ,  0.06,  0.31, 0.00
 1,           exploit,20,  0.22,  0.25,          *--        |                   ,  0.00,  0.30, 1.07
 1,    LINEAR/explore,20,  0.22,  0.24,          *-----     |                   ,  0.00,  0.45, 1.27
 1,            random,25,  0.22,  0.12,   ---    *--        |                   ,  0.00,  0.34, 0.00
 1,    LINEAR/explore,25,  0.22,  0.08, ---------*  --      |                   ,  0.00,  0.39, 1.16
 1,    LINEAR/explore,30,  0.22,  0.28,          * -        |                   ,  0.00,  0.45, 2.04
#
 2,       LLM/explore,20,  0.23,  0.23,          *-------   |                   ,  0.00,  0.45, 21.78
 2,           explore,30,  0.23,  0.15, -------  *    ----- |                   ,  0.00,  0.47, 0.89
 2,       LLM/explore,30,  0.23,  0.19, -----    *   -      |                   ,  0.00,  0.45, 19.49
 2,           explore,20,  0.25,  0.11,   -----   * ---     |                   ,  0.00,  0.42, 1.12
 2,       LLM/explore,25,  0.25,  0.24, --        * ----    |                   ,  0.00,  0.42, 21.71
 2,           explore,25,  0.34,  0.09,        -----  *---  |                   ,  0.00,  0.45, 0.91
#
 3,         baseline,206,  0.56,  0.23,             ------  |  *    -----       ,  0.00,  0.95, 0.00
