#
 0,       LLM/exploit,30,  0.05,  0.01,   *                 |                   ,  0.04,  0.07, 25.36
 0,           exploit,30,  0.05,  0.01,   *-                |                   ,  0.04,  0.12, 1.28
 0,       LLM/exploit,25,  0.05,  0.01,    *                |                   ,  0.04,  0.07, 28.59
 0,           exploit,25,  0.05,  0.02,    *-               |                   ,  0.00,  0.16, 1.50
 0,       LLM/exploit,20,  0.06,  0.01,    *                |                   ,  0.00,  0.08, 29.80
#
 1,    LINEAR/exploit,20,  0.06,  0.01,   -*                |                   ,  0.04,  0.08, 4.46
 1,    LINEAR/exploit,30,  0.06,  0.01,   -*                |                   ,  0.00,  0.23, 3.54
 1,           exploit,20,  0.06,  0.02,   -*--              |                   ,  0.04,  0.25, 1.21
 1,    LINEAR/exploit,25,  0.06,  0.02,   -*-               |                   ,  0.00,  0.12, 3.69
#
 2,            random,30,  0.07,  0.02,   -*-               |                   ,  0.05,  0.10, 0.00
 2,       LLM/explore,30,  0.07,  0.02,    *                |                   ,  0.04,  0.09, 25.05
 2,       LLM/explore,20,  0.07,  0.02,    *-               |                   ,  0.05,  0.26, 28.82
#
 3,            random,20,  0.07,  0.02,    *-               |                   ,  0.04,  0.12, 0.00
 3,           UCB_GPM,25,  0.07,  0.02,    *--              |                   ,  0.00,  0.18, 140.00
 3,            random,25,  0.07,  0.01,     *               |                   ,  0.06,  0.10, 0.00
 3,           explore,30,  0.07,  0.05,   - * -------       |                   ,  0.05,  0.39, 1.30
 3,       LLM/explore,25,  0.07,  0.02,     *-              |                   ,  0.05,  0.13, 28.06
 3,    LINEAR/explore,20,  0.07,  0.02,     *               |                   ,  0.00,  0.26, 5.62
 3,    LINEAR/explore,25,  0.08,  0.03,     *               |                   ,  0.05,  0.11, 3.15
 3,           explore,25,  0.08,  0.04,   - *-              |                   ,  0.04,  0.16, 1.05
#
 4,    LINEAR/explore,30,  0.08,  0.01,    -*---            |                   ,  0.06,  0.17, 3.24
 4,           UCB_GPM,30,  0.09,  0.02,    -*               |                   ,  0.05,  0.11, 206.28
 4,           UCB_GPM,20,  0.09,  0.02,    -*               |                   ,  0.05,  0.12, 157.01
 4,           explore,20,  0.09,  0.03,    - *              |                   ,  0.05,  0.18, 1.19
#
 5,               rrp,12,  0.11,  0.10,    -  *  ---------  |                   ,  0.04,  0.70, 0.64
#
 6,        baseline,1512,  0.13,  0.07,     -- * ------     |                   ,  0.00,  0.38, 0.00
