#
 0,           UCB_GPM,20,  0.32,  0.08, *                   |                   ,  0.32,  0.40, 149.69
 0,           UCB_GPM,30,  0.32,  0.00, *                   |                   ,  0.32,  0.37, 219.21
#
 1,    LINEAR/exploit,20,  0.35,  0.02, --*---              |                   ,  0.32,  0.40, 2.39
#
 2,    LINEAR/exploit,30,  0.35,  0.02, --*---              |                   ,  0.32,  0.42, 1.24
 2,       LLM/exploit,30,  0.35,  0.00,   *-----            |                   ,  0.35,  0.45, 1.28
#
 3,    LINEAR/explore,20,  0.35,  0.06, --*   ----          |                   ,  0.32,  0.50, 1.71
 3,       LLM/exploit,20,  0.35,  0.06,   *   ---           |                   ,  0.35,  0.45, 1.04
 3,           UCB_GPM,25,  0.35,  0.05,   *---              |                   ,  0.32,  0.44, 150.00
 3,           exploit,25,  0.37,  0.06,    *  ------        |                   ,  0.32,  0.50, 0.73
 3,    LINEAR/exploit,25,  0.37,  0.05,    *  ---           |                   ,  0.32,  0.49, 1.17
 3,            random,30,  0.37,  0.03, -- *---             |                   ,  0.32,  0.42, 0.00
#
 4,           exploit,30,  0.37,  0.05, -- * ----           |                   ,  0.32,  0.45, 1.41
 4,       LLM/explore,30,  0.37,  0.08, -- *   ---          |                   ,  0.32,  0.53, 0.93
 4,           exploit,20,  0.38,  0.03,   - * ---           |                   ,  0.32,  0.49, 0.69
 4,            random,25,  0.38,  0.06, --- *   --          |                   ,  0.32,  0.47, 0.00
 4,       LLM/exploit,25,  0.38,  0.06,     * ------        |                   ,  0.35,  0.49, 0.74
 4,           explore,30,  0.38,  0.06, --- *  --           |                   ,  0.32,  0.45, 1.74
 4,    LINEAR/explore,30,  0.39,  0.07, --   *  ---         |                   ,  0.32,  0.52, 1.19
#
 5,       LLM/explore,20,  0.40,  0.06,   -   * -           |                   ,  0.32,  0.51, 1.05
 5,            random,20,  0.40,  0.04,       * -           |                   ,  0.32,  0.46, 0.00
 5,           explore,20,  0.41,  0.07, ----  *  --         |                   ,  0.32,  0.50, 1.04
 5,    LINEAR/explore,25,  0.42,  0.07,    -   * -          |                   ,  0.35,  0.57, 1.14
 5,       LLM/explore,25,  0.42,  0.06,   ---  * -----      |                   ,  0.32,  0.51, 0.79
#
 6,           explore,25,  0.42,  0.05, ----    *           |                   ,  0.32,  0.46, 0.75
 6,                rrp,9,  0.46,  0.09,      ---  *    -----|-------            ,  0.32,  0.70, 0.23
#
 7,         baseline,196,  0.53,  0.09,         -----  *   -|-------            ,  0.32,  0.86, 0.00
