#
 0,    LINEAR/exploit,20,  0.15,  0.10,  *    ----          |                   ,  0.12,  0.28, 3.57
 0,           UCB_GPM,30,  0.17,  0.04,    *----            |                   ,  0.12,  0.27, 202.28
 0,       LLM/exploit,30,  0.19,  0.13,     *    -          |                   ,  0.12,  0.34, 24.82
 0,           exploit,30,  0.19,  0.07,     *-----          |                   ,  0.12,  0.29, 1.18
#
 1,    LINEAR/exploit,30,  0.19,  0.11,     *  ---          |                   ,  0.12,  0.28, 2.36
 1,           UCB_GPM,25,  0.21,  0.09, --   *  --          |                   ,  0.13,  0.28, 159.09
 1,    LINEAR/explore,30,  0.21,  0.11, ---  *    ---       |                   ,  0.13,  0.34, 1.99
 1,    LINEAR/exploit,25,  0.21,  0.11,      *  ---         |                   ,  0.12,  0.30, 1.95
 1,           exploit,20,  0.21,  0.12, -     *  ---        |                   ,  0.12,  0.32, 1.23
 1,       LLM/exploit,20,  0.22,  0.14,       *   --        |                   ,  0.12,  0.34, 27.47
 1,           exploit,25,  0.22,  0.09,       *---          |                   ,  0.12,  0.28, 0.85
#
 2,            random,30,  0.22,  0.06, ---   *----         |                   ,  0.12,  0.30, 0.00
 2,           UCB_GPM,20,  0.22,  0.07, ---   * -           |                   ,  0.13,  0.27, 152.03
 2,            random,25,  0.22,  0.03, ------* ---         |                   ,  0.12,  0.29, 0.00
 2,           explore,30,  0.22,  0.07,   --  *  --         |                   ,  0.13,  0.33, 1.05
 2,            random,20,  0.22,  0.05,  ---- * ---         |                   ,  0.13,  0.36, 0.00
 2,       LLM/explore,20,  0.22,  0.11,       * ---         |                   ,  0.12,  0.31, 28.39
#
 3,           explore,20,  0.23,  0.04,   ---- *----        |                   ,  0.13,  0.32, 1.13
 3,    LINEAR/explore,25,  0.23,  0.07, -----  *  -         |                   ,  0.13,  0.32, 1.94
 3,           explore,25,  0.23,  0.11, --     * ----       |                   ,  0.12,  0.36, 0.97
 3,       LLM/exploit,25,  0.24,  0.13, -       * -         |                   ,  0.12,  0.30, 26.44
 3,       LLM/explore,25,  0.24,  0.08, ---     *----       |                   ,  0.13,  0.32, 26.62
 3,       LLM/explore,30,  0.24,  0.04, ------  *----       |                   ,  0.13,  0.37, 24.64
#
 4,    LINEAR/explore,20,  0.25,  0.11, --      * -         |                   ,  0.13,  0.30, 3.00
#
 5,               rrp,11,  0.29,  0.03,    ------- *--------|------             ,  0.13,  0.53, 0.64
#
 6,         baseline,756,  0.39,  0.18,           ----    * |     ------------- ,  0.12,  0.71, 0.00
