#
 0,    LINEAR/exploit,20,  0.35,  0.10, *                   |                   ,  0.35,  0.45, 2.07
 0,       LLM/exploit,20,  0.35,  0.04, *  -----            |                   ,  0.35,  0.46, 0.53
 0,    LINEAR/exploit,25,  0.35,  0.04, * -----             |                   ,  0.35,  0.45, 2.24
 0,    LINEAR/exploit,30,  0.35,  0.00, *------             |                   ,  0.35,  0.45, 2.10
 0,       LLM/exploit,30,  0.35,  0.00, *------             |                   ,  0.35,  0.45, 1.44
#
 1,           exploit,25,  0.35,  0.06, *   ----            |                   ,  0.35,  0.48, 1.49
#
 2,           exploit,20,  0.38,  0.11,   *     --          |                   ,  0.35,  0.48, 1.01
 2,            random,30,  0.38,  0.03, - *-----            |                   ,  0.35,  0.46, 0.00
 2,           exploit,30,  0.40,  0.10,    *   --           |                   ,  0.35,  0.48, 1.33
 2,       LLM/explore,30,  0.40,  0.06,  --*   -----        |                   ,  0.35,  0.66, 0.91
#
 3,            random,25,  0.40,  0.02, --- *---            |                   ,  0.35,  0.47, 0.00
 3,    LINEAR/explore,30,  0.40,  0.05, --  * --            |                   ,  0.35,  0.53, 1.88
 3,    LINEAR/explore,25,  0.41,  0.05, --- *  -            |                   ,  0.35,  0.50, 1.46
 3,           explore,25,  0.41,  0.05,  --  * -            |                   ,  0.35,  0.49, 0.75
#
 4,       LLM/exploit,25,  0.41,  0.10,      * ---          |                   ,  0.35,  0.48, 0.70
 4,           explore,30,  0.41,  0.03,   ---* -            |                   ,  0.35,  0.46, 0.90
 4,       LLM/explore,25,  0.42,  0.05,  --- * -----        |                   ,  0.35,  0.52, 0.71
 4,            random,20,  0.42,  0.04, ---  *--            |                   ,  0.35,  0.48, 0.00
 4,           explore,20,  0.42,  0.04,    - * -            |                   ,  0.35,  0.55, 0.69
 4,       LLM/explore,20,  0.44,  0.06,    -  * -           |                   ,  0.35,  0.52, 0.53
#
 5,           UCB_GPM,30,  0.44,  0.03,     -  *            |                   ,  0.39,  0.46, 202.06
 5,    LINEAR/explore,20,  0.45,  0.04,  ----  *            |                   ,  0.37,  0.52, 1.14
#
 6,           UCB_GPM,25,  0.45,  0.01,     -- *            |                   ,  0.37,  0.46, 154.78
 6,           UCB_GPM,20,  0.45,  0.01,   ---- *            |                   ,  0.35,  0.46, 153.28
 6,                rrp,9,  0.46,  0.11,    --   *    -------|-----              ,  0.35,  0.70, 0.22
#
 7,         baseline,196,  0.53,  0.11,        -----  *     |-----              ,  0.35,  0.88, 0.00
