#
 0,       LLM/exploit,20,  0.33,  0.02, *-----              |                   ,  0.33,  0.44, 0.68
#
 1,    LINEAR/exploit,25,  0.33,  0.10, *                   |                   ,  0.33,  0.50, 1.18
 1,       LLM/exploit,30,  0.33,  0.10, *                   |                   ,  0.33,  0.44, 0.87
 1,           exploit,25,  0.35,  0.08,  *   -              |                   ,  0.33,  0.46, 1.21
#
 2,           exploit,30,  0.35,  0.09,  *    -----         |                   ,  0.33,  0.50, 1.35
 2,            random,25,  0.38,  0.04, - *--               |                   ,  0.33,  0.43, 0.00
 2,            random,30,  0.39,  0.06, -  * --             |                   ,  0.33,  0.45, 0.00
 2,           exploit,20,  0.39,  0.08, -  *  ---           |                   ,  0.33,  0.49, 1.02
#
 3,            random,20,  0.40,  0.08,     * -             |                   ,  0.33,  0.47, 0.00
#
 4,    LINEAR/explore,30,  0.40,  0.05, --  * ---           |                   ,  0.33,  0.53, 1.13
#
 5,           explore,25,  0.41,  0.03,  ---* ---           |                   ,  0.33,  0.53, 0.80
 5,       LLM/explore,25,  0.41,  0.05,  -  * --            |                   ,  0.33,  0.47, 0.71
 5,           explore,30,  0.41,  0.05,  -  * -             |                   ,  0.33,  0.44, 1.09
 5,    LINEAR/explore,25,  0.41,  0.05, --   *              |                   ,  0.33,  0.46, 1.12
 5,    LINEAR/exploit,30,  0.41,  0.09,      *-----         |                   ,  0.33,  0.50, 1.15
#
 6,    LINEAR/exploit,20,  0.42,  0.08, -    *              |                   ,  0.33,  0.44, 1.75
 6,       LLM/explore,20,  0.43,  0.02,    -- *--           |                   ,  0.35,  0.51, 0.54
 6,           explore,20,  0.43,  0.04,   --  *---          |                   ,  0.35,  0.51, 1.00
 6,    LINEAR/explore,20,  0.43,  0.05,  ---  *--           |                   ,  0.33,  0.52, 1.68
 6,       LLM/exploit,25,  0.43,  0.02, ----- *----         |                   ,  0.33,  0.50, 0.69
 6,           UCB_GPM,30,  0.43,  0.01,      -*             |                   ,  0.40,  0.44, 230.57
 6,       LLM/explore,30,  0.43,  0.05,    -  * ---         |                   ,  0.35,  0.53, 1.04
#
 7,           UCB_GPM,20,  0.44,  0.01,     -- *            |                   ,  0.39,  0.44, 150.61
 7,           UCB_GPM,25,  0.44,  0.01,        *            |                   ,  0.39,  0.44, 160.99
#
 8,                rrp,9,  0.48,  0.18,      --  *         -|----               ,  0.33,  0.93, 0.22
#
 9,         baseline,196,  0.54,  0.14,        ----  *      |---                ,  0.33,  0.93, 0.00
