#
 0,    LINEAR/exploit,20,  0.23,  0.00, *                   |                   ,  0.23,  0.31, 2.51
 0,       LLM/exploit,20,  0.23,  0.00, *                   |                   ,  0.23,  0.42, 26.67
 0,    LINEAR/exploit,25,  0.23,  0.00, *                   |                   ,  0.23,  0.23, 1.54
 0,       LLM/exploit,25,  0.23,  0.00, *----------         |                   ,  0.23,  0.61, 26.88
 0,           exploit,30,  0.23,  0.09, *                   |                   ,  0.23,  0.38, 1.05
 0,    LINEAR/exploit,30,  0.23,  0.00, *                   |                   ,  0.23,  0.31, 1.43
 0,       LLM/exploit,30,  0.23,  0.00, *                   |                   ,  0.23,  0.31, 24.68
 0,           exploit,20,  0.23,  0.09, *   ----            |                   ,  0.23,  0.38, 1.28
 0,           UCB_GPM,25,  0.23,  0.09, *                   |                   ,  0.23,  0.31, 155.72
 0,           exploit,25,  0.23,  0.09, *   -------         |                   ,  0.23,  0.61, 1.09
 0,           UCB_GPM,30,  0.23,  0.00, *---                |                   ,  0.23,  0.31, 223.29
#
 1,           UCB_GPM,20,  0.31,  0.09,     *               |                   ,  0.23,  0.31, 149.71
 1,    LINEAR/explore,25,  0.31,  0.09,     *---------      |                   ,  0.23,  0.51, 1.60
 1,       LLM/explore,25,  0.31,  0.16,     *   ------------|                   ,  0.23,  0.64, 24.83
 1,            random,30,  0.31,  0.15,     *               |                   ,  0.23,  0.45, 0.00
 1,    LINEAR/explore,30,  0.31,  0.09,     *-------        |                   ,  0.23,  0.46, 1.47
#
 2,       LLM/explore,20,  0.31,  0.22,     *      ---------|---                ,  0.23,  0.73, 27.79
 2,            random,25,  0.31,  0.15,     *   ---         |                   ,  0.23,  0.54, 0.00
#
 3,       LLM/explore,30,  0.31,  0.15,     *   -----       |                   ,  0.23,  0.68, 23.51
 3,                rrp,9,  0.38,  0.15, ----    *   --      |                   ,  0.23,  0.51, 0.16
 3,            random,20,  0.38,  0.04, --------* -----     |                   ,  0.23,  0.51, 0.00
#
 4,    LINEAR/explore,20,  0.38,  0.07, ----    *----       |                   ,  0.23,  0.50, 1.67
#
 5,           explore,25,  0.45,  0.17, ----       * -------|---                ,  0.23,  0.69, 0.92
#
 6,           explore,30,  0.45,  0.12, --------   *   -----|-                  ,  0.23,  0.68, 1.12
 6,           explore,20,  0.51,  0.14, -----------    *   -|------             ,  0.23,  0.76, 1.31
#
 7,         baseline,259,  0.72,  0.16,             --------|     *  ---------- ,  0.23,  0.97, 0.00
