#
 0,       LLM/exploit,20,  0.05,  0.02,   *--               |                   ,  0.01,  0.30, 52.76
 0,       LLM/explore,20,  0.05,  0.06,  -*  ------------   |                   ,  0.03,  0.36, 52.14
 0,       LLM/exploit,30,  0.05,  0.08,   *  -------------  |                   ,  0.02,  0.34, 43.87
 0,           UCB_GPM,30,  0.06,  0.06,   *  --             |                   ,  0.02,  0.14, 166.15
#
 1,       LLM/exploit,25,  0.08,  0.08, -  * ------------   |                   ,  0.01,  0.39, 49.69
 1,       LLM/explore,25,  0.08,  0.10,    *    -------     |                   ,  0.03,  0.30, 69.19
 1,    LINEAR/exploit,30,  0.11,  0.18,  --  *        ------|                   ,  0.01,  0.37, 8.19
#
 2,    LINEAR/exploit,25,  0.11,  0.08,  --  *  ---------   |                   ,  0.03,  0.32, 12.86
 2,           UCB_GPM,25,  0.12,  0.04,    --* -            |                   ,  0.05,  0.17, 165.51
 2,           UCB_GPM,20,  0.12,  0.09,  --   * -           |                   ,  0.03,  0.19, 156.03
 2,           explore,30,  0.14,  0.17,    --  *      ------|---                ,  0.04,  0.49, 2.12
 2,       LLM/explore,30,  0.14,  0.08,    --  *  -----     |                   ,  0.05,  0.31, 43.96
 2,           exploit,30,  0.14,  0.07,  ----  * --------   |                   ,  0.02,  0.50, 2.11
 2,            random,30,  0.16,  0.16,    ---  *      ---- |                   ,  0.04,  0.36, 0.00
#
 3,            random,25,  0.17,  0.10,     -   *  ------   |                   ,  0.08,  0.33, 0.00
 3,           exploit,25,  0.17,  0.08,   ----   * -------- |                   ,  0.02,  0.35, 2.75
 3,    LINEAR/exploit,20,  0.18,  0.20,  ----    *       -- |                   ,  0.02,  0.36, 10.42
 3,    LINEAR/explore,20,  0.19,  0.20,    --    *       ---|-                  ,  0.05,  0.42, 11.05
 3,    LINEAR/explore,25,  0.19,  0.17,  ------  *       -- |                   ,  0.03,  0.37, 10.87
 3,            random,20,  0.22,  0.17,    ---      *   --  |                   ,  0.01,  0.37, 0.00
#
 4,    LINEAR/explore,30,  0.25,  0.17,   -----      *   ---|---                ,  0.04,  0.44, 8.15
 4,           exploit,20,  0.26,  0.18,    ----       *   --|                   ,  0.05,  0.40, 1.58
 4,           explore,25,  0.28,  0.12,    --------    *  --|                   ,  0.03,  0.38, 2.26
 4,           explore,20,  0.30,  0.13,      -----      * --|                   ,  0.04,  0.39, 2.30
#
 5,               rrp,12,  0.33,  0.19,        ---        * |--------           ,  0.08,  0.66, 2.93
#
 6,        baseline,2880,  0.67,  0.03,                     |             -- *- ,  0.43,  0.71, 0.00
