#
 0,           UCB_GPM,30,  0.11,  0.03,       *--           |                   ,  0.09,  0.17, 329.45
 0,           UCB_GPM,25,  0.12,  0.02,        *            |                   ,  0.09,  0.14, 286.71
 0,       LLM/explore,25,  0.13,  0.03,     -  *----        |                   ,  0.05,  0.20, 753.86
#
 1,       LLM/explore,30,  0.13,  0.04,      - *  ---       |                   ,  0.05,  0.20, 754.13
 1,       LLM/explore,20,  0.13,  0.07,      - *    -       |                   ,  0.03,  0.20, 761.35
 1,           UCB_GPM,20,  0.13,  0.03,       - *--         |                   ,  0.09,  0.20, 358.83
 1,       LLM/exploit,20,  0.14,  0.06,      --  *          |                   ,  0.09,  0.18, 758.91
 1,            random,30,  0.15,  0.04,       -  * -        |                   ,  0.10,  0.19, 0.00
#
 2,            random,25,  0.15,  0.05,        - *  -       |                   ,  0.10,  0.21, 0.00
 2,    LINEAR/exploit,20,  0.18,  0.00,         ----*       |                   ,  0.09,  0.19, 289.01
 2,    LINEAR/exploit,30,  0.18,  0.01,       ----- *       |                   ,  0.09,  0.19, 275.41
 2,           explore,20,  0.18,  0.04,       ---   *       |                   ,  0.10,  0.21, 19.51
 2,       LLM/exploit,30,  0.18,  0.05,       -     *       |                   ,  0.11,  0.19, 754.24
 2,    LINEAR/exploit,25,  0.18,  0.00,         ----*       |                   ,  0.12,  0.20, 268.27
 2,           exploit,30,  0.18,  0.00,             *       |                   ,  0.15,  0.27, 18.09
 2,           exploit,25,  0.18,  0.00,         ----*       |                   ,  0.08,  0.19, 15.35
 2,           explore,25,  0.18,  0.06,       -     *       |                   ,  0.10,  0.20, 15.72
 2,       LLM/exploit,25,  0.18,  0.05,             *       |                   ,  0.11,  0.19, 750.66
 2,           explore,30,  0.18,  0.07,      --     *----   |                   ,  0.09,  0.26, 18.15
#
 3,    LINEAR/explore,25,  0.18,  0.05,       --    *       |                   ,  0.08,  0.20, 266.42
 3,    LINEAR/explore,30,  0.18,  0.02,        ---  *       |                   ,  0.06,  0.20, 267.62
 3,           exploit,20,  0.18,  0.01,         ----*----   |                   ,  0.09,  0.25, 15.57
 3,    LINEAR/explore,20,  0.19,  0.00,        -----*       |                   ,  0.09,  0.20, 272.48
 3,            random,20,  0.19,  0.04,       ----  *       |                   ,  0.09,  0.21, 0.00
 3,               rrp,17,  0.19,  0.10,       ----  *     --|                   ,  0.03,  0.34, 152.14
#
 4,       baseline,53662,  0.28,  0.06,                  --*|   -----           ,  0.12,  0.53, 0.07
