#
 0,       LLM/exploit,20,  0.13,  0.04, * ---               |                   ,  0.12,  0.25, 56.71
 0,       LLM/exploit,30,  0.15,  0.03,  *---               |                   ,  0.12,  0.25, 53.68
 0,       LLM/exploit,25,  0.15,  0.08,  *  -               |                   ,  0.12,  0.24, 64.02
#
 1,            random,25,  0.17,  0.04,   *---              |                   ,  0.13,  0.25, 0.00
 1,           exploit,30,  0.17,  0.09,   *  -              |                   ,  0.12,  0.34, 1.72
 1,    LINEAR/exploit,30,  0.17,  0.05,   * --              |                   ,  0.12,  0.29, 4.17
 1,    LINEAR/exploit,20,  0.17,  0.06, - * --              |                   ,  0.12,  0.25, 6.25
 1,            random,20,  0.18,  0.06, - * --              |                   ,  0.12,  0.26, 0.00
 1,           UCB_GPM,25,  0.18,  0.06, - * --              |                   ,  0.12,  0.25, 222.80
 1,       LLM/explore,25,  0.18,  0.07, --*  --             |                   ,  0.12,  0.27, 54.34
 1,           UCB_GPM,30,  0.18,  0.02, --*---              |                   ,  0.12,  0.25, 201.36
 1,    LINEAR/exploit,25,  0.18,  0.05, - * -               |                   ,  0.12,  0.24, 4.67
 1,       LLM/explore,20,  0.18,  0.07, --*  -              |                   ,  0.12,  0.28, 56.04
 1,            random,30,  0.18,  0.03, --*---              |                   ,  0.12,  0.26, 0.00
#
 2,    LINEAR/explore,20,  0.19,  0.08, -- *                |                   ,  0.12,  0.27, 4.60
 2,       LLM/explore,30,  0.19,  0.07,  - * -              |                   ,  0.12,  0.25, 51.30
 2,           exploit,25,  0.19,  0.04,    *-               |                   ,  0.12,  0.27, 2.55
 2,           UCB_GPM,20,  0.20,  0.05, -- *--              |                   ,  0.12,  0.27, 200.82
 2,    LINEAR/explore,30,  0.20,  0.05,  -  *-              |                   ,  0.12,  0.25, 4.18
 2,           exploit,20,  0.21,  0.08,     *--             |                   ,  0.12,  0.31, 1.12
#
 3,    LINEAR/explore,25,  0.22,  0.07,  -  *-              |                   ,  0.14,  0.28, 4.68
 3,           explore,20,  0.22,  0.06,  --  *-             |                   ,  0.13,  0.29, 1.09
 3,           explore,30,  0.23,  0.04,  --- *              |                   ,  0.13,  0.27, 1.73
#
 4,           explore,25,  0.24,  0.06,   -  *---           |                   ,  0.15,  0.32, 1.54
 4,               rrp,11,  0.26,  0.07,   --  *--------     |                   ,  0.13,  0.47, 1.68
#
 5,         baseline,972,  0.42,  0.10,          ---  *  ---|--                 ,  0.21,  0.93, 0.00
