#
 0,           UCB_GPM,30,  0.03,  0.00, *                   |                   ,  0.03,  0.04, 222.98
 0,           UCB_GPM,25,  0.03,  0.00, *                   |                   ,  0.03,  0.04, 181.75
 0,           UCB_GPM,20,  0.03,  0.00, *                   |                   ,  0.03,  0.05, 137.62
 0,       LLM/exploit,20,  0.03,  0.00, *-                  |                   ,  0.03,  0.06, 64.63
#
 1,       LLM/exploit,30,  0.03,  0.00, *                   |                   ,  0.03,  0.05, 64.96
 1,       LLM/exploit,25,  0.03,  0.00, *-                  |                   ,  0.03,  0.07, 64.98
#
 2,       LLM/explore,30,  0.03,  0.02, * -                 |                   ,  0.03,  0.07, 63.41
 2,    LINEAR/exploit,25,  0.04,  0.02, * ---               |                   ,  0.03,  0.08, 18.09
 2,       LLM/explore,20,  0.04,  0.02, *  ---              |                   ,  0.03,  0.09, 64.24
 2,    LINEAR/exploit,30,  0.04,  0.02, * -                 |                   ,  0.03,  0.07, 17.26
 2,            random,30,  0.04,  0.01,  *-                 |                   ,  0.03,  0.07, 0.00
 2,            random,20,  0.04,  0.01, -*----              |                   ,  0.03,  0.11, 0.00
#
 3,            random,25,  0.04,  0.03,  *  -               |                   ,  0.03,  0.09, 0.00
 3,           exploit,30,  0.05,  0.03,  *  -               |                   ,  0.03,  0.08, 2.92
 3,    LINEAR/explore,20,  0.05,  0.03,   *---              |                   ,  0.03,  0.09, 17.05
 3,           explore,25,  0.05,  0.03, - * ---             |                   ,  0.03,  0.12, 2.35
 3,       LLM/explore,25,  0.05,  0.02,   *---              |                   ,  0.03,  0.09, 63.61
 3,    LINEAR/exploit,20,  0.05,  0.03,   *-                |                   ,  0.03,  0.08, 17.88
 3,           exploit,25,  0.05,  0.03,   *--               |                   ,  0.03,  0.09, 2.35
 3,    LINEAR/explore,25,  0.05,  0.03, - *  -              |                   ,  0.03,  0.09, 18.26
 3,    LINEAR/explore,30,  0.05,  0.05, - *   --            |                   ,  0.03,  0.12, 17.25
#
 4,           exploit,20,  0.06,  0.04, - *  -------        |                   ,  0.03,  0.17, 1.79
 4,               rrp,13,  0.06,  0.03, -  *-----           |                   ,  0.03,  0.40, 4.01
 4,           explore,30,  0.06,  0.03, -- * --             |                   ,  0.03,  0.12, 2.92
 4,           explore,20,  0.07,  0.04, -   * -             |                   ,  0.03,  0.12, 1.78
#
 5,        baseline,5184,  0.09,  0.03,     - * ---         |                   ,  0.06,  0.19, 0.01
