#
 0,           UCB_GPM,30,  0.23,  0.00, *                   |                   ,  0.23,  0.24, 239.68
 0,    LINEAR/exploit,30,  0.23,  0.00, *-                  |                   ,  0.23,  0.31, 21.40
 0,           UCB_GPM,25,  0.24,  0.01, *                   |                   ,  0.23,  0.25, 212.29
 0,       LLM/exploit,25,  0.24,  0.00, *                   |                   ,  0.23,  0.25, 97.42
 0,       LLM/exploit,20,  0.24,  0.00, *-                  |                   ,  0.23,  0.26, 108.91
 0,       LLM/exploit,30,  0.24,  0.01, *-----              |                   ,  0.23,  0.33, 101.74
 0,    LINEAR/exploit,20,  0.24,  0.03, * ---------         |                   ,  0.23,  0.42, 25.95
#
 1,    LINEAR/exploit,25,  0.24,  0.02, * --------------    |                   ,  0.23,  0.43, 21.52
 1,           exploit,25,  0.24,  0.03, * -                 |                   ,  0.23,  0.43, 2.55
 1,           UCB_GPM,20,  0.24,  0.01, *                   |                   ,  0.23,  0.25, 239.21
 1,           exploit,20,  0.24,  0.03, *  --------         |                   ,  0.23,  0.44, 2.43
 1,           exploit,30,  0.24,  0.03,  *--------------    |                   ,  0.23,  0.43, 3.16
#
 2,            random,30,  0.25,  0.00, -*-                 |                   ,  0.23,  0.31, 0.00
 2,            random,20,  0.25,  0.01,  *                  |                   ,  0.23,  0.29, 0.00
#
 3,               rrp,13,  0.25,  0.02, -* --------         |                   ,  0.23,  0.61, 8.14
 3,            random,25,  0.25,  0.01, -*                  |                   ,  0.23,  0.26, 0.00
 3,    LINEAR/explore,20,  0.26,  0.01,  -*--------         |                   ,  0.24,  0.45, 28.13
 3,       LLM/explore,25,  0.26,  0.02,   *--               |                   ,  0.23,  0.30, 99.21
 3,           explore,30,  0.26,  0.03,   * ----            |                   ,  0.23,  0.33, 3.17
 3,    LINEAR/explore,30,  0.26,  0.02,   *---------        |                   ,  0.24,  0.39, 21.46
 3,       LLM/explore,20,  0.26,  0.04,   *  --------       |                   ,  0.23,  0.41, 110.58
 3,       LLM/explore,30,  0.27,  0.03,  - * ----           |                   ,  0.23,  0.37, 99.51
 3,           explore,25,  0.27,  0.04, -  * ---            |                   ,  0.24,  0.47, 2.54
 3,           explore,20,  0.29,  0.08,  -   *   ----       |                   ,  0.24,  0.39, 2.39
#
 4,    LINEAR/explore,25,  0.29,  0.07, -    *----          |                   ,  0.23,  0.42, 21.86
#
 5,        baseline,4608,  0.45,  0.18,   -------         * |   --------------  ,  0.23,  0.70, 0.02
