#
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 235.16
#
 1,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 214.39
#
 2,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 232.56
#
 3,               rrp,14,  0.07,  0.20,  --*         ------ |                   ,  0.01,  0.44, 9.87
 3,            random,30,  0.08,  0.12,   -*     --         |                   ,  0.03,  0.25, 0.00
#
 4,            random,25,  0.12,  0.15,   -  *     --       |                   ,  0.02,  0.28, 0.00
#
 5,       LLM/exploit,30,  0.19,  0.04,    ----- *          |                   ,  0.02,  0.35, 90.86
 5,       LLM/exploit,25,  0.19,  0.02,  ------- *          |                   ,  0.02,  0.36, 91.30
 5,    LINEAR/exploit,30,  0.19,  0.03,  --------*-------   |                   ,  0.01,  0.37, 26.35
 5,           exploit,20,  0.19,  0.02,    ------*-------   |                   ,  0.02,  0.36, 2.47
#
 6,           exploit,30,  0.19,  0.08,          *   -----  |                   ,  0.17,  0.37, 3.47
 6,    LINEAR/exploit,20,  0.19,  0.01,   -------*------    |                   ,  0.02,  0.36, 33.32
 6,       LLM/exploit,20,  0.19,  0.01,         -*------    |                   ,  0.07,  0.35, 99.77
 6,    LINEAR/exploit,25,  0.19,  0.03,         -* ------   |                   ,  0.02,  0.37, 26.06
 6,           exploit,25,  0.20,  0.02,    ------ *---      |                   ,  0.06,  0.39, 2.79
 6,            random,20,  0.21,  0.14,   -       *--       |                   ,  0.02,  0.40, 0.00
 6,       LLM/explore,30,  0.21,  0.05,           * ----    |                   ,  0.04,  0.33, 91.29
#
 7,       LLM/explore,20,  0.25,  0.06,          -  *-----  |                   ,  0.07,  0.39, 102.79
 7,           explore,25,  0.26,  0.08,           -  * ---  |                   ,  0.07,  0.39, 2.93
 7,           explore,20,  0.27,  0.04,           -- *------|                   ,  0.04,  0.42, 2.27
 7,    LINEAR/explore,30,  0.27,  0.17,   ------     *   ---|                   ,  0.02,  0.41, 26.43
 7,    LINEAR/explore,25,  0.28,  0.13,               *  ---|                   ,  0.02,  0.43, 26.55
#
 8,           explore,30,  0.30,  0.13,            --  *   -|---                ,  0.02,  0.51, 3.54
#
 9,    LINEAR/explore,20,  0.33,  0.18,     ------      *  -|                   ,  0.04,  0.44, 32.35
 9,       LLM/explore,25,  0.34,  0.15,                  *- |                   ,  0.19,  0.51, 89.15
#
10,        baseline,6840,  0.40,  0.34,   --------          *       ----        ,  0.00,  0.79, 0.01
