#
 0,           UCB_GPM,20,  0.09,  0.00, *                   |                   ,  0.09,  0.09, 411.67
 0,       LLM/explore,20,  0.09,  0.25, *                 --|-                  ,  0.09,  0.40, 304.56
 0,           UCB_GPM,25,  0.09,  0.00, *                   |                   ,  0.09,  0.09, 339.99
#
 1,       LLM/exploit,25,  0.09,  0.03, * ----------        |                   ,  0.09,  0.31, 296.63
 1,       LLM/explore,25,  0.09,  0.25, *                 --|                   ,  0.09,  0.44, 304.34
 1,           UCB_GPM,30,  0.09,  0.00, *                   |                   ,  0.09,  0.09, 386.23
 1,       LLM/explore,30,  0.09,  0.20, *             ------|--                 ,  0.09,  0.44, 303.47
 1,       LLM/exploit,30,  0.20,  0.16,         *  ----     |                   ,  0.09,  0.34, 300.29
 1,       LLM/exploit,20,  0.22,  0.17,          *  -       |                   ,  0.09,  0.35, 304.45
 1,    LINEAR/exploit,25,  0.26,  0.06,          -  * -     |                   ,  0.21,  0.34, 240.11
#
 2,    LINEAR/exploit,20,  0.26,  0.04,           --*  --   |                   ,  0.14,  0.43, 252.23
 2,           exploit,25,  0.28,  0.05,           --  * -   |                   ,  0.12,  0.37, 16.12
#
 3,    LINEAR/exploit,30,  0.30,  0.04,         -----  *--- |                   ,  0.16,  0.36, 233.83
 3,           exploit,30,  0.30,  0.05,            --  *--  |                   ,  0.21,  0.35, 19.85
#
 4,               rrp,17,  0.31,  0.11,          -----  *   | --------          ,  0.20,  0.64, 91.10
 4,           exploit,20,  0.32,  0.02,              --- *--|                   ,  0.21,  0.42, 19.30
 4,            random,25,  0.32,  0.06,            ---   *--|-                  ,  0.22,  0.41, 0.00
#
 5,           explore,25,  0.32,  0.05,              --  * -|------             ,  0.19,  0.48, 16.38
 5,            random,30,  0.33,  0.08,            ---   *  |-                  ,  0.25,  0.41, 0.00
 5,            random,20,  0.35,  0.03,             ----   *|                   ,  0.15,  0.38, 0.00
#
 6,       baseline,65536,  0.36,  0.07,              ----  *| -                 ,  0.09,  0.49, 0.16
 6,           explore,20,  0.36,  0.05,               ----  *----               ,  0.27,  0.45, 19.28
 6,    LINEAR/explore,30,  0.37,  0.03,                ---- *--                 ,  0.24,  0.43, 236.57
 6,    LINEAR/explore,20,  0.37,  0.05,               ----  * --                ,  0.22,  0.44, 239.44
 6,    LINEAR/explore,25,  0.37,  0.06,           --------  * -                 ,  0.23,  0.49, 237.33
 6,           explore,30,  0.40,  0.06,               ----- | * --              ,  0.23,  0.51, 20.35
