#
 0,           UCB_GPM,20,  0.03,  0.00,  *                  |                   ,  0.03,  0.03, 403.98
#
 1,           UCB_GPM,25,  0.03,  0.00,  *                  |                   ,  0.00,  0.03, 336.00
#
 2,           UCB_GPM,30,  0.03,  0.00,  *                  |                   ,  0.01,  0.03, 377.68
#
 3,       LLM/exploit,30,  0.19,  0.14,  ---       *--------|-                  ,  0.00,  0.38, 296.76
 3,       LLM/exploit,20,  0.19,  0.03,    ------- *--------|                   ,  0.03,  0.39, 288.01
#
 4,       LLM/exploit,25,  0.20,  0.02,    --------*--------|                   ,  0.00,  0.37, 290.21
#
 5,           exploit,30,  0.20,  0.03,             *-------|-                  ,  0.18,  0.37, 25.89
 5,               rrp,17,  0.21,  0.02,           - *-------|-                  ,  0.00,  0.38, 85.94
 5,       LLM/explore,25,  0.21,  0.19,     ------- *       |  -                ,  0.00,  0.43, 295.18
 5,    LINEAR/exploit,25,  0.21,  0.13,            -*       |-                  ,  0.18,  0.38, 235.17
 5,    LINEAR/exploit,30,  0.22,  0.12,            - *     -|-                  ,  0.18,  0.39, 240.95
 5,       LLM/explore,20,  0.23,  0.04,     -------- *------|------             ,  0.00,  0.54, 294.67
 5,       LLM/explore,30,  0.23,  0.18,     -------- *      |  ------           ,  0.06,  0.50, 293.41
 5,            random,20,  0.24,  0.05,             - * ----|---                ,  0.19,  0.45, 0.00
 5,            random,25,  0.24,  0.12,             - *     |---                ,  0.19,  0.40, 0.00
#
 6,            random,30,  0.26,  0.05,             -  * ---|---                ,  0.21,  0.41, 0.00
 6,    LINEAR/exploit,20,  0.32,  0.14,            -       *|---                ,  0.18,  0.63, 253.63
 6,           exploit,25,  0.34,  0.14,            -        *----               ,  0.18,  0.62, 21.06
#
 7,           exploit,20,  0.39,  0.08,              ------ |  *--              ,  0.19,  0.44, 23.31
 7,    LINEAR/explore,30,  0.40,  0.16,              --     |   *--             ,  0.19,  0.45, 237.44
 7,    LINEAR/explore,25,  0.40,  0.03,              -------|-- *--             ,  0.20,  0.52, 231.33
 7,           explore,20,  0.42,  0.05,              -------|--- * -----        ,  0.21,  0.56, 23.62
#
 8,    LINEAR/explore,20,  0.42,  0.02,                     | -- *--            ,  0.21,  0.53, 236.78
 8,           explore,30,  0.43,  0.06,               ------|--  * --           ,  0.24,  0.50, 25.63
 8,       baseline,86058,  0.43,  0.06,               ------|---  * --          ,  0.03,  0.54, 0.11
 8,           explore,25,  0.44,  0.06,               ------|---  * -------     ,  0.22,  0.66, 21.32
