#
 0,    LINEAR/exploit,20,  0.02,  0.03,  *------            |                   ,  0.00,  0.11, 2.81
 0,       LLM/exploit,20,  0.02,  0.03,  *--                |                   ,  0.00,  0.06, 43.18
 0,       LLM/exploit,15,  0.02,  0.03,  * -                |                   ,  0.00,  0.08, 23.60
 0,    LINEAR/exploit,15,  0.02,  0.02,  *---               |                   ,  0.00,  0.07, 3.86
#
 1,       LLM/explore,15,  0.04,  0.03, -- *---             |                   ,  0.00,  0.14, 21.32
 1,       LLM/explore,20,  0.04,  0.03,    *----            |                   ,  0.02,  0.18, 21.30
 1,    LINEAR/explore,15,  0.05,  0.09, -   *    -------    |                   ,  0.00,  0.21, 4.12
 1,           exploit,20,  0.05,  0.05, --  * ----          |                   ,  0.01,  0.17, 0.73
 1,    LINEAR/explore,20,  0.06,  0.03, --  *-------------  |                   ,  0.00,  0.29, 3.17
 1,           UCB_GPM,20,  0.06,  0.03,   -  *-             |                   ,  0.03,  0.16, 91.22
#
 2,           UCB_GPM,15,  0.06,  0.03, ---- * --           |                   ,  0.00,  0.12, 77.39
 2,               rrp,11,  0.06,  0.05,   -  * ----         |                   ,  0.02,  0.16, 0.86
 2,           explore,15,  0.07,  0.05,  ---  *  --         |                   ,  0.02,  0.14, 0.65
 2,            random,20,  0.07,  0.02,    -- *--           |                   ,  0.02,  0.11, 0.00
 2,            random,15,  0.08,  0.04,   --  *-            |                   ,  0.02,  0.11, 0.00
#
 3,           explore,20,  0.08,  0.03,   --- * ------      |                   ,  0.00,  0.18, 0.73
 3,           exploit,15,  0.09,  0.04,   ---  *----        |                   ,  0.01,  0.15, 0.59
#
 4,        baseline,1343,  0.20,  0.10,          ---     *  |-------            ,  0.02,  0.47, 0.00
