#
 0,       LLM/exploit,15,  0.05,  0.01,    *                |                   ,  0.04,  0.09, 22.76
 0,       LLM/exploit,20,  0.05,  0.01,    *                |                   ,  0.04,  0.09, 42.44
#
 1,    LINEAR/exploit,20,  0.05,  0.02,    *-               |                   ,  0.05,  0.08, 3.43
 1,           exploit,15,  0.06,  0.02,     *-              |                   ,  0.04,  0.12, 0.63
 1,    LINEAR/exploit,15,  0.06,  0.01,     *-              |                   ,  0.04,  0.12, 5.00
 1,       LLM/explore,15,  0.06,  0.02,    -*--             |                   ,  0.00,  0.25, 21.30
#
 2,       LLM/explore,20,  0.07,  0.02,    -*-              |                   ,  0.05,  0.10, 23.61
 2,           exploit,20,  0.07,  0.02,     *---            |                   ,  0.04,  0.17, 0.77
#
 3,            random,20,  0.08,  0.02,    --*-             |                   ,  0.04,  0.10, 0.00
 3,    LINEAR/explore,15,  0.08,  0.02,     - *-            |                   ,  0.04,  0.13, 3.97
 3,    LINEAR/explore,20,  0.09,  0.02,     - *-----        |                   ,  0.05,  0.25, 3.02
 3,           explore,20,  0.09,  0.02,     - *-----        |                   ,  0.05,  0.21, 0.79
 3,           UCB_GPM,20,  0.09,  0.04,    -  *-----        |                   ,  0.00,  0.18, 86.91
 3,            random,15,  0.09,  0.02,     - *--           |                   ,  0.04,  0.14, 0.00
 3,           explore,15,  0.10,  0.05,     -  * -----------|                   ,  0.05,  0.28, 0.58
 3,           UCB_GPM,15,  0.10,  0.04,     -  *----        |                   ,  0.05,  0.17, 83.02
#
 4,        baseline,1512,  0.13,  0.07,       -  *  ------- |                   ,  0.00,  0.38, 0.00
 4,               rrp,12,  0.14,  0.09,    ---    *  -------|---                ,  0.05,  0.55, 0.65
