#
 0,    LINEAR/exploit,20,  0.35,  0.05, --*   ---           |                   ,  0.32,  0.45, 1.15
#
 1,           exploit,15,  0.37,  0.06,    *  ---           |                   ,  0.32,  0.45, 0.73
 1,    LINEAR/exploit,15,  0.37,  0.05, -- *  ---           |                   ,  0.32,  0.49, 1.30
 1,       LLM/exploit,20,  0.37,  0.08, -- *    ---         |                   ,  0.32,  0.49, 0.52
 1,    LINEAR/explore,15,  0.38,  0.07,     *   ---         |                   ,  0.32,  0.50, 1.79
 1,            random,20,  0.38,  0.04, ----*  --           |                   ,  0.32,  0.46, 0.00
#
 2,           explore,20,  0.38,  0.05, --- *  --------     |                   ,  0.32,  0.56, 0.51
 2,           UCB_GPM,15,  0.39,  0.08,      *--            |                   ,  0.32,  0.45, 94.24
 2,           explore,15,  0.39,  0.10, --   *    -----     |                   ,  0.32,  0.52, 0.72
 2,           UCB_GPM,20,  0.39,  0.08,      *              |                   ,  0.32,  0.41, 96.18
 2,    LINEAR/explore,20,  0.40,  0.07,   -   * --          |                   ,  0.32,  0.50, 1.11
#
 3,            random,15,  0.41,  0.07,   --   * -          |                   ,  0.35,  0.46, 0.00
 3,       LLM/explore,15,  0.42,  0.05,   ---   *-          |                   ,  0.32,  0.51, 0.37
 3,       LLM/explore,20,  0.42,  0.07,   --    *--         |                   ,  0.32,  0.53, 0.56
 3,       LLM/exploit,15,  0.43,  0.08,   -     *---        |                   ,  0.32,  0.50, 0.50
#
 4,           exploit,20,  0.43,  0.08,   -     *---        |                   ,  0.32,  0.52, 0.50
#
 5,                rrp,9,  0.47,  0.06,         -- *  ------|-------            ,  0.32,  0.71, 0.21
#
 6,         baseline,196,  0.53,  0.09,         -----  *   -|-------            ,  0.32,  0.86, 0.00
