#
 0,    LINEAR/exploit,15,  0.35,  0.10, *                   |                   ,  0.35,  0.45, 2.16
 0,           exploit,20,  0.35,  0.09, *     --            |                   ,  0.35,  0.46, 0.51
 0,    LINEAR/exploit,20,  0.35,  0.00, *------             |                   ,  0.35,  0.45, 1.08
#
 1,       LLM/exploit,20,  0.35,  0.04, *  ----             |                   ,  0.35,  0.46, 0.51
 1,       LLM/exploit,15,  0.35,  0.07, *    ---            |                   ,  0.35,  0.51, 0.69
#
 2,            random,20,  0.39,  0.07, -  *  --            |                   ,  0.35,  0.49, 0.00
 2,           exploit,15,  0.40,  0.08,    *  ----          |                   ,  0.35,  0.52, 0.72
#
 3,    LINEAR/explore,15,  0.40,  0.02, ---* --             |                   ,  0.35,  0.46, 1.89
#
 4,           explore,20,  0.41,  0.04,    - * ---          |                   ,  0.35,  0.62, 0.51
 4,    LINEAR/explore,20,  0.41,  0.04, ---  *-             |                   ,  0.35,  0.47, 1.08
 4,            random,15,  0.42,  0.05,   -  * -            |                   ,  0.35,  0.47, 0.00
 4,       LLM/explore,20,  0.42,  0.04,    - * ---          |                   ,  0.35,  0.51, 0.51
 4,       LLM/explore,15,  0.42,  0.04,  --- * -            |                   ,  0.35,  0.48, 0.72
 4,           explore,15,  0.44,  0.06, ----  * ----        |                   ,  0.35,  0.52, 0.69
#
 5,           UCB_GPM,15,  0.45,  0.00,        *            |                   ,  0.41,  0.47, 98.62
 5,           UCB_GPM,20,  0.45,  0.00,      --*            |                   ,  0.35,  0.46, 102.58
#
 6,                rrp,9,  0.52,  0.12, ------       * -----|-----              ,  0.35,  0.70, 0.22
#
 7,         baseline,196,  0.53,  0.11,        -----  *     |-----              ,  0.35,  0.88, 0.00
