#
 0,    LINEAR/exploit,20,  0.33,  0.10, *     -----         |                   ,  0.33,  0.50, 1.10
 0,    LINEAR/exploit,15,  0.35,  0.10,  *    ---           |                   ,  0.33,  0.50, 1.67
 0,           exploit,20,  0.35,  0.08,  *   ----           |                   ,  0.33,  0.50, 0.52
#
 1,       LLM/exploit,20,  0.35,  0.09,  *    -----         |                   ,  0.33,  0.50, 0.52
#
 2,           exploit,15,  0.41,  0.06, --  * -             |                   ,  0.33,  0.50, 0.37
#
 3,            random,15,  0.42,  0.08,  --  *   -          |                   ,  0.33,  0.50, 0.00
 3,       LLM/explore,15,  0.42,  0.06,  -   * -----        |                   ,  0.33,  0.53, 0.41
 3,            random,20,  0.42,  0.04, ---  *--            |                   ,  0.33,  0.46, 0.00
 3,    LINEAR/explore,20,  0.42,  0.05,    - * --           |                   ,  0.35,  0.47, 1.11
 3,       LLM/exploit,15,  0.42,  0.04, ---  *-----         |                   ,  0.33,  0.51, 0.72
 3,           explore,20,  0.43,  0.05,  --   *---          |                   ,  0.33,  0.54, 0.53
 3,    LINEAR/explore,15,  0.43,  0.09, -     *-            |                   ,  0.33,  0.52, 2.26
#
 4,       LLM/explore,20,  0.43,  0.05,  ---  *---          |                   ,  0.33,  0.50, 0.52
 4,           UCB_GPM,15,  0.44,  0.01,        *            |                   ,  0.38,  0.45, 95.06
 4,           UCB_GPM,20,  0.44,  0.00,    ----*            |                   ,  0.35,  0.48, 103.80
 4,           explore,15,  0.44,  0.02,  ----- *-           |                   ,  0.35,  0.48, 0.38
#
 5,                rrp,9,  0.47,  0.08,       -  *  ------- |                   ,  0.43,  0.70, 0.18
#
 6,         baseline,196,  0.54,  0.14,        ----  *      |---                ,  0.33,  0.93, 0.00
