#
 0,    LINEAR/exploit,15,  0.23,  0.00, *---                |                   ,  0.23,  0.31, 1.67
#
 1,       LLM/exploit,15,  0.23,  0.00, *                   |                   ,  0.23,  0.31, 22.93
 1,           exploit,20,  0.23,  0.09, *   ---------       |                   ,  0.23,  0.70, 0.67
#
 2,    LINEAR/exploit,20,  0.23,  0.00, *                   |                   ,  0.23,  0.38, 1.42
#
 3,       LLM/exploit,20,  0.23,  0.00, *---                |                   ,  0.23,  0.31, 42.98
#
 4,           UCB_GPM,20,  0.23,  0.09, *                   |                   ,  0.23,  0.31, 94.18
 4,       LLM/explore,20,  0.23,  0.09, *   ----------------|                   ,  0.23,  0.61, 20.71
#
 5,           UCB_GPM,15,  0.31,  0.09,     *               |                   ,  0.23,  0.31, 83.74
 5,       LLM/explore,15,  0.31,  0.15,     *   -----       |                   ,  0.23,  0.61, 22.64
 5,    LINEAR/explore,20,  0.31,  0.15,     *   ---         |                   ,  0.23,  0.46, 1.42
 5,    LINEAR/explore,15,  0.31,  0.09,     *------         |                   ,  0.23,  0.50, 1.57
#
 6,           exploit,15,  0.38,  0.19,         * -------   |                   ,  0.23,  0.68, 0.64
#
 7,            random,20,  0.38,  0.19,         * ---       |                   ,  0.23,  0.50, 0.00
#
 8,           explore,20,  0.38,  0.14,         *   --------|                   ,  0.23,  0.64, 0.64
#
 9,            random,15,  0.38,  0.08, --------*   -       |                   ,  0.23,  0.51, 0.00
#
10,                rrp,9,  0.46,  0.13, --------    *  -    |                   ,  0.23,  0.70, 0.18
#
11,           explore,15,  0.48,  0.16,         --   *     -|------             ,  0.23,  0.76, 0.56
#
12,         baseline,259,  0.72,  0.16,             --------|     *  ---------- ,  0.23,  0.97, 0.00
