#
 0,    LINEAR/exploit,20,  0.01,  0.23, *           -       |                   ,  0.00,  0.25, 3.46
 0,    LINEAR/explore,15,  0.05,  0.22, - *         -       |                   ,  0.00,  0.28, 4.08
 0,           exploit,15,  0.05,  0.20, --*          --     |                   ,  0.00,  0.29, 0.66
 0,    LINEAR/exploit,15,  0.10,  0.23,      *      ---     |                   ,  0.00,  0.30, 3.62
 0,            random,20,  0.12,  0.21, -     *     --      |                   ,  0.00,  0.29, 0.00
 0,       LLM/exploit,15,  0.20,  0.23,           *         |                   ,  0.00,  0.24, 30.96
 0,           UCB_GPM,20,  0.20,  0.20, -         *-        |                   ,  0.00,  0.24, 89.98
 0,    LINEAR/explore,20,  0.21,  0.21, --         * --     |                   ,  0.00,  0.37, 3.46
#
 1,           UCB_GPM,15,  0.22,  0.07, --------   *-       |                   ,  0.00,  0.26, 85.56
 1,            random,15,  0.23,  0.10,    -----    *-      |                   ,  0.01,  0.28, 0.00
 1,               rrp,11,  0.23,  0.05, ----------  *--     |                   ,  0.00,  0.33, 0.99
 1,       LLM/explore,15,  0.23,  0.14, -----       *       |                   ,  0.00,  0.25, 29.23
 1,           explore,20,  0.24,  0.15, ------      *       |                   ,  0.01,  0.28, 0.89
 1,       LLM/exploit,20,  0.24,  0.23,             *       |                   ,  0.00,  0.26, 39.08
 1,           explore,15,  0.24,  0.19, ---         *--     |                   ,  0.00,  0.30, 0.70
 1,           exploit,20,  0.24,  0.24,             *--     |                   ,  0.00,  0.36, 0.87
 1,       LLM/explore,20,  0.24,  0.01, ------------*       |                   ,  0.00,  0.30, 29.05
#
 2,        baseline,1080,  0.33,  0.09,            ----  *  |-----              ,  0.00,  0.75, 0.00
