#
 0,       LLM/exploit,15,  0.04,  0.02,  *---               |                   ,  0.02,  0.14, 37.35
 0,       LLM/exploit,20,  0.05,  0.06,   *  -------------  |                   ,  0.02,  0.37, 36.85
 0,       LLM/explore,20,  0.05,  0.06,  -*  -------------- |                   ,  0.04,  0.38, 36.95
#
 1,           UCB_GPM,20,  0.11,  0.07,      *----          |                   ,  0.03,  0.31, 90.44
#
 2,           UCB_GPM,15,  0.15,  0.14,  --     *  ---------|                   ,  0.01,  0.40, 90.07
 2,       LLM/explore,15,  0.16,  0.13,  -      *--------   |                   ,  0.03,  0.33, 36.25
 2,    LINEAR/exploit,20,  0.16,  0.18,  ---    *     ------|                   ,  0.02,  0.48, 8.03
 2,    LINEAR/exploit,15,  0.16,  0.22,  ---    *        -- |                   ,  0.02,  0.37, 8.33
#
 3,    LINEAR/explore,20,  0.18,  0.19,    ---   *       ---|------             ,  0.01,  0.50, 8.05
 3,           exploit,15,  0.19,  0.15,     ----  *      ---|-------            ,  0.01,  0.52, 0.90
 3,           explore,20,  0.19,  0.15,      --   *    -----|--                 ,  0.05,  0.53, 1.35
 3,           exploit,20,  0.21,  0.17,  ----      *   ---- |                   ,  0.01,  0.36, 1.33
 3,    LINEAR/explore,15,  0.24,  0.21,    ----      *     -|                   ,  0.05,  0.39, 7.85
#
 4,           explore,15,  0.27,  0.12,      -----    *  ---|                   ,  0.05,  0.40, 1.38
 4,            random,20,  0.28,  0.15,     -----      *  --|                   ,  0.05,  0.38, 0.00
 4,            random,15,  0.29,  0.11,    ---------   *  --|                   ,  0.04,  0.50, 0.00
 4,               rrp,12,  0.33,  0.20,  -------          * |-------            ,  0.03,  0.52, 3.10
#
 5,        baseline,2880,  0.67,  0.03,                     |             -- *- ,  0.43,  0.71, 0.00
