#
 0,    LINEAR/exploit,15,  0.16,  0.01, *                   |                   ,  0.16,  0.40, 7.15
 0,       LLM/exploit,20,  0.16,  0.01, *-------------      |                   ,  0.16,  0.51, 34.22
 0,       LLM/exploit,15,  0.16,  0.01, *------------------ |                   ,  0.16,  0.52, 33.62
 0,    LINEAR/exploit,20,  0.16,  0.01, *-                  |                   ,  0.16,  0.35, 5.69
 0,           exploit,15,  0.18,  0.05,  * -----------------|---                ,  0.16,  0.59, 1.46
 0,           UCB_GPM,20,  0.18,  0.02,  *                  |                   ,  0.16,  0.20, 90.56
 0,           exploit,20,  0.18,  0.02, -*----------------- |                   ,  0.16,  0.59, 1.53
 0,       LLM/explore,20,  0.19,  0.20, -*          ------- |                   ,  0.16,  0.54, 37.90
 0,            random,15,  0.20,  0.02, - *------------     |                   ,  0.16,  0.44, 0.00
 0,           UCB_GPM,15,  0.20,  0.00,  -*                 |                   ,  0.17,  0.39, 85.08
#
 1,            random,20,  0.20,  0.02,  -*-----------      |                   ,  0.17,  0.40, 0.00
#
 2,               rrp,11,  0.20,  0.17,  -*         ----    |                   ,  0.16,  0.48, 1.32
#
 3,    LINEAR/explore,20,  0.35,  0.24,  -         *    ----|--                 ,  0.16,  0.57, 5.97
 3,    LINEAR/explore,15,  0.39,  0.20,  -           *------|-----              ,  0.16,  0.69, 5.65
 3,       LLM/explore,15,  0.39,  0.22,  -           * -----|-                  ,  0.16,  0.62, 37.41
#
 4,           explore,15,  0.41,  0.11,  -----------   *   -|----               ,  0.16,  0.73, 1.64
#
 5,           explore,20,  0.43,  0.08,  ------------   * --|------             ,  0.16,  0.69, 1.56
#
 6,        baseline,1023,  0.65,  0.30,    -------------    |        *    ---   ,  0.16,  0.83, 0.00
