#
 0,       LLM/explore,15,  0.12,  0.01,    --- *----        |                   ,  0.03,  0.19, 806.22
 0,       LLM/explore,20,  0.13,  0.02,      --*----        |                   ,  0.08,  0.19, 774.01
 0,           UCB_GPM,20,  0.13,  0.03,        *----        |                   ,  0.08,  0.21, 265.50
#
 1,           UCB_GPM,15,  0.15,  0.05,      --  * --       |                   ,  0.09,  0.21, 233.84
 1,            random,15,  0.17,  0.05,      ---   *-       |                   ,  0.08,  0.20, 0.00
#
 2,       LLM/exploit,20,  0.18,  0.04,      ----   *       |                   ,  0.05,  0.19, 776.43
 2,       LLM/exploit,15,  0.18,  0.01,        ---- *       |                   ,  0.06,  0.19, 785.00
 2,    LINEAR/exploit,15,  0.18,  0.01,       ----- *       |                   ,  0.09,  0.19, 275.02
 2,    LINEAR/exploit,20,  0.18,  0.02,        ---  *       |                   ,  0.11,  0.19, 280.58
 2,           exploit,20,  0.18,  0.00,         ----*       |                   ,  0.09,  0.25, 11.26
 2,           explore,20,  0.18,  0.02,        ---  *       |                   ,  0.08,  0.20, 11.37
#
 3,           exploit,15,  0.18,  0.00,      -------*       |                   ,  0.05,  0.21, 8.65
 3,            random,20,  0.18,  0.02,          -- *       |                   ,  0.10,  0.20, 0.00
 3,    LINEAR/explore,15,  0.19,  0.04,        --   *       |                   ,  0.10,  0.20, 276.15
 3,    LINEAR/explore,20,  0.19,  0.04,      ----   *       |                   ,  0.05,  0.21, 281.46
 3,           explore,15,  0.19,  0.01,         ----*-      |                   ,  0.11,  0.21, 7.78
 3,               rrp,17,  0.19,  0.13,      ---    *      -|                   ,  0.09,  0.30, 107.69
#
 4,       baseline,53662,  0.28,  0.06,                  --*|   -----           ,  0.12,  0.53, 0.07
