#
 0,       LLM/exploit,20,  0.03,  0.01, *---                |                   ,  0.03,  0.06, 58.40
 0,           UCB_GPM,20,  0.03,  0.00, *-                  |                   ,  0.03,  0.06, 130.05
 0,       LLM/exploit,15,  0.03,  0.01, *----               |                   ,  0.03,  0.07, 59.53
#
 1,           UCB_GPM,15,  0.04,  0.01, *--                 |                   ,  0.03,  0.06, 120.75
 1,       LLM/explore,20,  0.04,  0.04,  *   -              |                   ,  0.03,  0.09, 54.35
 1,    LINEAR/explore,20,  0.04,  0.02,  * ---              |                   ,  0.03,  0.08, 18.10
#
 2,           exploit,20,  0.04,  0.03, -*   ----------     |                   ,  0.03,  0.20, 1.80
 2,    LINEAR/explore,15,  0.05,  0.02, - * ----            |                   ,  0.03,  0.10, 19.51
 2,    LINEAR/exploit,15,  0.05,  0.03, -  * --             |                   ,  0.03,  0.09, 18.62
 2,    LINEAR/exploit,20,  0.05,  0.03, -  * ---            |                   ,  0.03,  0.12, 17.82
 2,       LLM/explore,15,  0.06,  0.01, -- *-               |                   ,  0.03,  0.08, 73.71
 2,           explore,15,  0.06,  0.03, -- *  --            |                   ,  0.03,  0.09, 1.28
 2,           exploit,15,  0.06,  0.03, -  *  ------        |                   ,  0.03,  0.31, 1.36
#
 3,            random,20,  0.06,  0.02, -- * -------        |                   ,  0.03,  0.13, 0.00
 3,           explore,20,  0.06,  0.02,  -  * ---           |                   ,  0.04,  0.10, 1.79
 3,               rrp,13,  0.06,  0.03, -   * -----         |                   ,  0.03,  0.29, 4.58
 3,            random,15,  0.07,  0.03, --   * ---          |                   ,  0.03,  0.12, 0.00
#
 4,        baseline,5184,  0.09,  0.03,      --  * ---      |                   ,  0.06,  0.19, 0.01
