#
 0,       LLM/exploit,15,  0.23,  0.01, *--                 |                   ,  0.23,  0.27, 90.72
 0,    LINEAR/exploit,15,  0.24,  0.01, *-                  |                   ,  0.23,  0.43, 25.00
 0,    LINEAR/exploit,20,  0.24,  0.01, *-------            |                   ,  0.23,  0.33, 22.27
 0,           UCB_GPM,20,  0.24,  0.00, *                   |                   ,  0.23,  0.25, 155.43
 0,       LLM/exploit,20,  0.24,  0.01, *-----              |                   ,  0.23,  0.34, 77.75
 0,           exploit,20,  0.24,  0.03, * ------            |                   ,  0.23,  0.42, 2.15
 0,           UCB_GPM,15,  0.24,  0.01, *                   |                   ,  0.23,  0.26, 133.63
#
 1,           exploit,15,  0.24,  0.02,  *-------           |                   ,  0.23,  0.43, 1.46
 1,       LLM/explore,15,  0.25,  0.02, -*-                 |                   ,  0.23,  0.29, 86.16
 1,            random,20,  0.25,  0.01, -*--                |                   ,  0.23,  0.31, 0.00
#
 2,            random,15,  0.25,  0.01,   *                 |                   ,  0.23,  0.28, 0.00
 2,               rrp,13,  0.26,  0.03, - *---------        |                   ,  0.23,  0.41, 6.96
 2,       LLM/explore,20,  0.26,  0.02, --*---              |                   ,  0.23,  0.34, 86.16
#
 3,    LINEAR/explore,20,  0.27,  0.04,  - * -----          |                   ,  0.24,  0.39, 22.91
 3,           explore,20,  0.29,  0.07,  -  *   --------    |                   ,  0.23,  0.46, 1.98
 3,           explore,15,  0.29,  0.05,  -   *------------- |                   ,  0.24,  0.46, 1.45
#
 4,    LINEAR/explore,15,  0.29,  0.09, --   *   --------   |                   ,  0.23,  0.60, 22.74
#
 5,        baseline,4608,  0.45,  0.18,   -------         * |   --------------  ,  0.23,  0.70, 0.01
