#
 0,       LLM/explore,15,  0.24,  0.09, ---  *   -          |                   ,  0.15,  0.32, 51.77
 0,       LLM/exploit,20,  0.24,  0.06,    - *  --          |                   ,  0.19,  0.32, 53.11
 0,    LINEAR/explore,15,  0.27,  0.06, -----  *            |                   ,  0.17,  0.30, 7.08
 0,       LLM/exploit,15,  0.28,  0.10,   -     *           |                   ,  0.15,  0.30, 50.39
 0,       LLM/explore,20,  0.28,  0.06, -----   *           |                   ,  0.15,  0.31, 51.14
 0,           UCB_GPM,20,  0.28,  0.08, ---     *-          |                   ,  0.17,  0.32, 91.76
#
 1,    LINEAR/exploit,15,  0.28,  0.05,   ---   *-          |                   ,  0.15,  0.32, 7.07
 1,    LINEAR/exploit,20,  0.28,  0.05,   ---   *           |                   ,  0.15,  0.30, 6.93
 1,           UCB_GPM,15,  0.29,  0.08, ---      *-         |                   ,  0.17,  0.32, 65.08
 1,            random,20,  0.29,  0.03,  ------  *          |                   ,  0.17,  0.32, 0.00
 1,           exploit,20,  0.29,  0.06,   ---    *-         |                   ,  0.17,  0.34, 1.52
 1,           explore,20,  0.29,  0.03, -------  *-         |                   ,  0.17,  0.32, 1.51
 1,    LINEAR/explore,20,  0.29,  0.01,     ---- *          |                   ,  0.17,  0.31, 7.42
 1,           exploit,15,  0.30,  0.03,       -- *-         |                   ,  0.22,  0.36, 1.03
 1,            random,15,  0.30,  0.04,     ---  *--        |                   ,  0.19,  0.36, 0.00
#
 2,           explore,15,  0.30,  0.02,     -----*---       |                   ,  0.20,  0.38, 1.03
#
 3,               rrp,12,  0.35,  0.14,     ------  *      -|                   ,  0.17,  0.52, 1.71
#
 4,        baseline,1599,  0.44,  0.09,          ---      *-|--                 ,  0.15,  0.76, 0.00
