#
 0,       LLM/exploit,15,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 54.28
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 135.66
 0,           UCB_GPM,15,  0.00,  0.00, *                   |                   ,  0.00,  0.03, 120.95
 0,    LINEAR/exploit,20,  0.00,  0.01, *-------------      |                   ,  0.00,  0.21, 5.84
 0,       LLM/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 55.55
 0,    LINEAR/exploit,15,  0.01,  0.01, *-------------      |                   ,  0.00,  0.21, 5.53
 0,           exploit,20,  0.01,  0.20, *             -     |                   ,  0.00,  0.33, 1.13
 0,           exploit,15,  0.01,  0.01, *-------------      |                   ,  0.00,  0.21, 0.74
#
 1,               rrp,11,  0.01,  0.02,  *-                 |                   ,  0.00,  0.07, 1.91
 1,            random,20,  0.01,  0.01,  *                  |                   ,  0.00,  0.05, 0.00
 1,       LLM/explore,20,  0.02,  0.04,  * ----             |                   ,  0.00,  0.24, 49.51
 1,            random,15,  0.03,  0.03,  *--                |                   ,  0.00,  0.12, 0.00
#
 2,    LINEAR/explore,15,  0.03,  0.03, - *---------------- |                   ,  0.00,  0.31, 5.72
 2,       LLM/explore,15,  0.04,  0.04, - * --              |                   ,  0.01,  0.29, 56.17
 2,           explore,15,  0.05,  0.04,  - * ---            |                   ,  0.00,  0.23, 0.74
 2,           explore,20,  0.06,  0.06, --  * --------------|-                  ,  0.00,  0.41, 1.14
#
 3,    LINEAR/explore,20,  0.06,  0.08, -   *  -------------|                   ,  0.01,  0.42, 5.26
 3,        baseline,1152,  0.07,  0.06,  --  * -------------|-------            ,  0.00,  0.57, 0.00
