#
 0,       LLM/exploit,20,  0.05,  0.06, - * ----            |                   ,  0.00,  0.17, 89.50
 0,           UCB_GPM,20,  0.06,  0.03,   * -               |                   ,  0.04,  0.11, 89.76
 0,    LINEAR/exploit,15,  0.06,  0.08, -  * --             |                   ,  0.02,  0.19, 3.77
 0,       LLM/exploit,15,  0.06,  0.04, -- *-               |                   ,  0.02,  0.10, 92.02
 0,           UCB_GPM,15,  0.07,  0.05,  - *                |                   ,  0.03,  0.11, 64.04
 0,           exploit,20,  0.07,  0.07,  - *  ---           |                   ,  0.00,  0.26, 1.32
 0,    LINEAR/exploit,20,  0.07,  0.10, -  *   -            |                   ,  0.02,  0.17, 3.50
#
 1,       LLM/explore,20,  0.10,  0.08, --  *               |                   ,  0.00,  0.20, 96.78
 1,    LINEAR/explore,15,  0.11,  0.07,  --- *              |                   ,  0.00,  0.19, 3.99
 1,       LLM/explore,15,  0.12,  0.08, ---   *-            |                   ,  0.00,  0.17, 79.97
 1,            random,20,  0.12,  0.09, ---   *---          |                   ,  0.00,  0.21, 0.00
 1,    LINEAR/explore,20,  0.14,  0.08,   -    *--          |                   ,  0.00,  0.24, 3.51
 1,           exploit,15,  0.15,  0.06,    -   *--          |                   ,  0.05,  0.19, 0.94
#
 2,           explore,20,  0.15,  0.07,   ---  *---         |                   ,  0.04,  0.30, 1.23
 2,            random,15,  0.17,  0.07,   ---   *----       |                   ,  0.04,  0.37, 0.00
#
 3,           explore,15,  0.19,  0.06,       -- * --       |                   ,  0.10,  0.26, 0.83
#
 4,               rrp,10,  0.22,  0.21,      ---   *       -|--------           ,  0.03,  0.58, 0.60
#
 5,         baseline,500,  0.41,  0.16,         --------    |*  -----           ,  0.00,  0.77, 0.00
