#
 0,       LLM/exploit,15,  0.00,  0.00, *                   |                   ,  0.00,  0.10, 45.52
 0,           UCB_GPM,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 67.94
 0,    LINEAR/exploit,15,  0.00,  0.00, *--                 |                   ,  0.00,  0.14, 9.71
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 96.00
 0,       LLM/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 44.84
 0,    LINEAR/exploit,20,  0.00,  0.00, *-----              |                   ,  0.00,  0.04, 9.51
#
 1,       LLM/explore,20,  0.00,  0.01, *--------           |                   ,  0.00,  0.07, 45.76
 1,            random,20,  0.00,  0.00, *--                 |                   ,  0.00,  0.03, 0.00
 1,    LINEAR/explore,15,  0.00,  0.01, *--                 |                   ,  0.00,  0.03, 9.52
 1,    LINEAR/explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 9.55
 1,       LLM/explore,15,  0.00,  0.01, *                   |                   ,  0.00,  0.03, 43.10
 1,           explore,15,  0.00,  0.01, * ----              |                   ,  0.00,  0.05, 1.03
 1,           exploit,15,  0.00,  0.02, *  ---              |                   ,  0.00,  0.09, 1.04
#
 2,            random,15,  0.00,  0.02, * ----              |                   ,  0.00,  0.05, 0.00
 2,               rrp,13,  0.01,  0.04,  *    ---           |                   ,  0.00,  0.27, 2.38
 2,           explore,20,  0.02,  0.02,   * ----------------|                   ,  0.00,  0.23, 1.54
 2,           exploit,20,  0.02,  0.04,   *  ----           |                   ,  0.00,  0.15, 1.55
#
 3,        baseline,3840,  0.15,  0.04, -----------------   | *                 ,  0.00,  0.21, 0.01
