#
 0,       LLM/exploit,15,  0.01,  0.00,  *                  |                   ,  0.01,  0.02, 42.10
 0,       LLM/exploit,20,  0.01,  0.00, -*                  |                   ,  0.00,  0.02, 41.42
#
 1,       LLM/explore,15,  0.01,  0.00,  *                  |                   ,  0.00,  0.02, 39.88
#
 2,       LLM/explore,20,  0.01,  0.00,  *                  |                   ,  0.00,  0.02, 37.24
 2,           UCB_GPM,15,  0.01,  0.00,  *                  |                   ,  0.01,  0.02, 64.44
 2,           UCB_GPM,20,  0.01,  0.00,  *                  |                   ,  0.01,  0.02, 92.14
#
 3,            random,20,  0.02,  0.00,  *                  |                   ,  0.00,  0.02, 0.00
 3,            random,15,  0.02,  0.00,  *                  |                   ,  0.01,  0.02, 0.00
 3,    LINEAR/exploit,15,  0.02,  0.00,  *                  |                   ,  0.01,  0.02, 7.48
 3,               rrp,12,  0.02,  0.00,  *                  |                   ,  0.01,  0.02, 1.80
 3,           exploit,20,  0.02,  0.00,  *---               |                   ,  0.01,  0.08, 1.32
 3,           exploit,15,  0.02,  0.00,  *-                 |                   ,  0.01,  0.04, 0.90
#
 4,    LINEAR/exploit,20,  0.02,  0.02,  *  -               |                   ,  0.01,  0.05, 7.92
 4,    LINEAR/explore,20,  0.02,  0.01,   *                 |                   ,  0.01,  0.05, 8.26
 4,    LINEAR/explore,15,  0.02,  0.02,   *---              |                   ,  0.00,  0.07, 7.42
 4,           explore,20,  0.02,  0.01,   *------------     |                   ,  0.01,  0.16, 1.32
#
 5,           explore,15,  0.04,  0.03,  -  *--             |                   ,  0.02,  0.13, 0.89
#
 6,        baseline,2866,  0.06,  0.14,  ---  *            -|---------          ,  0.01,  0.37, 0.00
