#
 0,    LINEAR/exploit,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1.02
 0,    LINEAR/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1.06
 0,           UCB_GPM,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 59.53
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 88.80
 0,    LINEAR/explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 1.09
 0,       LLM/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 0.51
 0,            random,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 0.00
 0,    LINEAR/explore,15,  0.00,  0.01, *                   |                   ,  0.00,  0.02, 1.03
 0,           exploit,20,  0.00,  0.00, *-                  |                   ,  0.00,  0.15, 0.52
 0,           exploit,15,  0.01,  0.01, *-----              |                   ,  0.00,  0.25, 0.34
 0,       LLM/exploit,15,  0.01,  0.01, *-                  |                   ,  0.00,  0.16, 0.34
 0,            random,15,  0.01,  0.01, *--                 |                   ,  0.00,  0.15, 0.00
 0,       LLM/explore,15,  0.01,  0.05, * -------           |                   ,  0.00,  0.25, 0.34
#
 1,       LLM/explore,20,  0.01,  0.05, * -----             |                   ,  0.00,  0.21, 0.53
 1,           explore,20,  0.01,  0.01, *-                  |                   ,  0.00,  0.09, 0.51
 1,           explore,15,  0.01,  0.01, *-------            |                   ,  0.00,  0.23, 0.34
 1,                rrp,9,  0.01,  0.00, *---------          |                   ,  0.00,  0.28, 0.10
#
 2,         baseline,196,  0.26,  0.13, -------   * ------  |                   ,  0.00,  1.00, 0.00
