#
 0,       LLM/exploit,15,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 33.48
 0,       LLM/exploit,20,  0.00,  0.00, *---                |                   ,  0.00,  0.10, 35.00
 0,    LINEAR/exploit,20,  0.00,  0.00, *-                  |                   ,  0.00,  0.02, 7.71
 0,       LLM/explore,15,  0.00,  0.00, *-                  |                   ,  0.00,  0.02, 34.72
 0,    LINEAR/exploit,15,  0.00,  0.01, *---                |                   ,  0.00,  0.04, 7.37
 0,       LLM/explore,20,  0.00,  0.00, *-                  |                   ,  0.00,  0.08, 35.07
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.06, 91.57
 0,           UCB_GPM,15,  0.00,  0.00, *----               |                   ,  0.00,  0.06, 62.59
 0,            random,15,  0.01,  0.00, *-                  |                   ,  0.00,  0.05, 0.00
 0,            random,20,  0.01,  0.02,  *----              |                   ,  0.00,  0.06, 0.00
#
 1,           exploit,20,  0.02,  0.04,   * ---------       |                   ,  0.00,  0.14, 1.34
 1,    LINEAR/explore,15,  0.02,  0.06,   *  --             |                   ,  0.00,  0.11, 7.06
 1,    LINEAR/explore,20,  0.02,  0.05,   *  --             |                   ,  0.00,  0.10, 7.80
 1,           explore,15,  0.02,  0.06,   *  --------       |                   ,  0.00,  0.22, 0.88
 1,               rrp,12,  0.02,  0.07,   *    -------------|-                  ,  0.00,  0.41, 2.01
 1,           exploit,15,  0.02,  0.06, --*     ---         |                   ,  0.00,  0.19, 0.87
#
 2,        baseline,2880,  0.06,  0.05, ---- *   ----       |                   ,  0.00,  0.39, 0.00
 2,           explore,20,  0.06,  0.06, -    * ------       |                   ,  0.00,  0.18, 1.28
