#
 0,           exploit,50,  0.02,  0.02,  *----              |                   ,  0.00,  0.08, 2.16
 0,           exploit,55,  0.02,  0.04,  * ----             |                   ,  0.00,  0.12, 2.44
 0,           exploit,60,  0.02,  0.02,  *----              |                   ,  0.00,  0.12, 2.71
 0,           exploit,40,  0.02,  0.04,  * ----             |                   ,  0.00,  0.16, 1.66
 0,           exploit,35,  0.02,  0.04, -*  ---             |                   ,  0.00,  0.11, 1.44
 0,           exploit,45,  0.02,  0.05,  *                  |                   ,  0.00,  0.09, 1.90
#
 1,            random,55,  0.03,  0.03,   * -               |                   ,  0.00,  0.09, 0.00
 1,            random,60,  0.03,  0.02,   *--               |                   ,  0.01,  0.07, 0.00
 1,           exploit,30,  0.03,  0.05, - *  -              |                   ,  0.00,  0.08, 1.20
 1, llm_phi3-mini(3.8B),30,  0.03,  0.03,   * --              |                   ,  0.03,  0.08, 1478.40
 1,           explore,35,  0.03,  0.03,  -* -----           |                   ,  0.00,  0.15, 1.40
 1,            random,50,  0.03,  0.02, --*-                |                   ,  0.00,  0.05, 0.00
#
 2,           explore,60,  0.04,  0.04, -- *  --            |                   ,  0.01,  0.13, 2.88
 2,            random,40,  0.04,  0.03, -- *---             |                   ,  0.00,  0.10, 0.00
 2,            random,45,  0.05,  0.03,   - *-              |                   ,  0.02,  0.08, 0.00
#
 3,            random,25,  0.05,  0.03,   - * -             |                   ,  0.01,  0.10, 0.00
 3,               rrp,11,  0.05,  0.04,     *-------        |                   ,  0.01,  0.15, 0.51
 3,           exploit,25,  0.05,  0.03, --- *----           |                   ,  0.01,  0.15, 0.96
 3, llm_llama3-8b(8.0B),30,  0.05,  0.04, --  *--             |                   ,  0.00,  0.09, 3190.25
 3,           exploit,20,  0.05,  0.03,  -  *----           |                   ,  0.00,  0.22, 0.72
 3,           explore,20,  0.06,  0.05,  -- *  ----         |                   ,  0.00,  0.19, 0.72
 3,           explore,30,  0.06,  0.02,  --- *---           |                   ,  0.00,  0.16, 1.17
 3,            random,20,  0.06,  0.01,   -- *-             |                   ,  0.02,  0.11, 0.00
 3,            random,35,  0.06,  0.03,   -  *-             |                   ,  0.00,  0.09, 0.00
 3,            random,30,  0.06,  0.03,   -  *              |                   ,  0.00,  0.09, 0.00
#
 4,           explore,55,  0.06,  0.04, ---  * ---          |                   ,  0.00,  0.17, 2.46
 4,           explore,40,  0.06,  0.04,  ----*  -----       |                   ,  0.01,  0.19, 1.71
 4, llm_llama3-8b(8.0B),20,  0.07,  0.02,   -- *--            |                   ,  0.03,  0.10, 1835.77
 4,           explore,25,  0.07,  0.04,   -  *---           |                   ,  0.00,  0.14, 0.94
#
 5,           explore,45,  0.07,  0.02,   --- *-----        |                   ,  0.01,  0.20, 1.92
 5, llm_phi3-mini(3.8B),20,  0.07,  0.04, ---   *-            |                   ,  0.01,  0.10, 930.75
 5,         SimAnneal,50,  0.08,  0.03,   --- * --          |                   ,  0.02,  0.21, 3.81
 5,         SimAnneal,60,  0.08,  0.05,   --  * --          |                   ,  0.00,  0.16, 5.09
 5,         SimAnneal,40,  0.08,  0.05,    -- *  -          |                   ,  0.04,  0.14, 2.74
 5,         SimAnneal,45,  0.08,  0.03,    ---* ---         |                   ,  0.01,  0.22, 3.20
 5,         SimAnneal,30,  0.08,  0.04,   --- * -           |                   ,  0.02,  0.12, 1.75
 5,         SimAnneal,35,  0.08,  0.04,    --  * -          |                   ,  0.03,  0.13, 2.16
 5,         SimAnneal,20,  0.09,  0.03,    --  *--          |                   ,  0.02,  0.14, 0.98
 5,           explore,50,  0.09,  0.06,  ---   * ---        |                   ,  0.01,  0.15, 2.18
 5,         SimAnneal,25,  0.09,  0.03,    --- *----        |                   ,  0.03,  0.17, 1.34
 5,         SimAnneal,55,  0.09,  0.05,   ---  * --         |                   ,  0.00,  0.15, 4.49
#
 6,        baseline,1343,  0.20,  0.10,          ---     *  |-------            ,  0.02,  0.47, 0.00
