#
 0,         SimAnneal,60,  0.32,  0.04, * ------            |                   ,  0.32,  0.44, 4.39
#
 1, llm_phi3-mini(3.8B),30,  0.35,  0.07,   *  -              |                   ,  0.32,  0.41, 519.81
#
 2,           exploit,30,  0.35,  0.02, --*-----            |                   ,  0.32,  0.44, 0.88
 2,           exploit,40,  0.35,  0.03,   * ----            |                   ,  0.32,  0.49, 1.25
 2,         SimAnneal,45,  0.35,  0.06,   * --              |                   ,  0.32,  0.42, 2.77
 2,           exploit,50,  0.35,  0.02,   *---              |                   ,  0.32,  0.41, 1.71
 2,            random,55,  0.35,  0.05,   *---              |                   ,  0.32,  0.41, 0.00
#
 3,           exploit,55,  0.35,  0.02,   *---              |                   ,  0.32,  0.42, 2.06
 3,            random,60,  0.35,  0.02, --*-                |                   ,  0.32,  0.39, 0.00
 3,           exploit,60,  0.35,  0.00,   *-                |                   ,  0.35,  0.40, 2.12
 3,         SimAnneal,35,  0.35,  0.07,   *  ----           |                   ,  0.32,  0.45, 1.99
 3,            random,45,  0.35,  0.06,   * --              |                   ,  0.32,  0.45, 0.00
 3,            random,50,  0.35,  0.03, --* --              |                   ,  0.32,  0.43, 0.00
 3,         SimAnneal,55,  0.35,  0.06,   * --              |                   ,  0.32,  0.52, 3.86
 3,           explore,60,  0.35,  0.08,   *   ---           |                   ,  0.32,  0.46, 2.16
 3, llm_phi3-mini(3.8B),40,  0.37,  0.03, -- *                |                   ,  0.32,  0.38, 760.23
 3, llm_llama3-8b(8.0B),30,  0.37,  0.06,    *-               |                   ,  0.32,  0.39, 1135.62
 3,           explore,40,  0.37,  0.05, -- * ----           |                   ,  0.32,  0.45, 1.30
 3,         SimAnneal,40,  0.37,  0.03, -- *---             |                   ,  0.32,  0.42, 2.39
 3,           explore,50,  0.37,  0.09,    *   --           |                   ,  0.32,  0.46, 1.69
 3, llm_llama3-8b(8.0B),20,  0.37,  0.07,    *                |                   ,  0.37,  0.45, 589.60
 3,         SimAnneal,20,  0.37,  0.05, -- * -----          |                   ,  0.32,  0.49, 0.81
 3,           exploit,25,  0.37,  0.06,    *  ---           |                   ,  0.32,  0.45, 0.70
 3,           exploit,35,  0.37,  0.03,    *-----           |                   ,  0.32,  0.45, 1.13
 3,           explore,35,  0.37,  0.07,    * ----           |                   ,  0.32,  0.47, 1.23
 3,            random,40,  0.37,  0.03, -- *--              |                   ,  0.32,  0.41, 0.00
 3,           exploit,45,  0.37,  0.03,    *--              |                   ,  0.32,  0.40, 1.43
 3,            random,25,  0.37,  0.04,     *---            |                   ,  0.32,  0.45, 0.00
 3,           explore,25,  0.37,  0.05, --  * ---           |                   ,  0.32,  0.49, 0.74
 3,            random,30,  0.37,  0.05, --  * ---           |                   ,  0.32,  0.45, 0.00
 3, llm_phi3-mini(3.8B),20,  0.38,  0.06,     * -             |                   ,  0.35,  0.42, 355.35
 3,           explore,30,  0.38,  0.06, --  * ---           |                   ,  0.32,  0.56, 0.89
 3,            random,35,  0.38,  0.05,     * -             |                   ,  0.32,  0.44, 0.00
#
 4,           explore,45,  0.38,  0.08, --  *   -           |                   ,  0.32,  0.47, 1.46
 4,         SimAnneal,50,  0.38,  0.05, --  * --            |                   ,  0.32,  0.44, 3.33
 4,           explore,55,  0.38,  0.06, --  * -             |                   ,  0.32,  0.45, 2.01
 4,            random,20,  0.38,  0.04,   --*  ---          |                   ,  0.35,  0.46, 0.00
 4,         SimAnneal,25,  0.39,  0.05, --   *----          |                   ,  0.32,  0.48, 1.14
#
 5,         SimAnneal,30,  0.39,  0.05, --   *----          |                   ,  0.32,  0.49, 1.47
 5,           exploit,20,  0.40,  0.08,   -   *  ---        |                   ,  0.35,  0.49, 0.51
 5,           explore,20,  0.40,  0.07, --    *--           |                   ,  0.32,  0.44, 0.52
#
 6,                rrp,9,  0.44,  0.11, ------   *    -     |                   ,  0.32,  0.61, 0.12
#
 7,         baseline,196,  0.53,  0.09,         -----  *   -|-------            ,  0.32,  0.86, 0.00
