#
 0,         SimAnneal,50,  0.19,  0.01,    --------*        |                   ,  0.06,  0.21, 45.66
 0,         SimAnneal,55,  0.19,  0.02,  --------- *        |                   ,  0.00,  0.21, 51.29
 0,         SimAnneal,60,  0.19,  0.01,            *        |                   ,  0.00,  0.21, 56.25
 0,           exploit,55,  0.19,  0.03,            *------- |                   ,  0.17,  0.35, 49.57
 0,         SimAnneal,40,  0.20,  0.01,           -*        |                   ,  0.04,  0.34, 35.92
 0,         SimAnneal,45,  0.20,  0.01,           -*        |                   ,  0.03,  0.21, 41.32
 0,         SimAnneal,35,  0.20,  0.01,       -----*        |                   ,  0.05,  0.24, 31.21
 0,           exploit,50,  0.20,  0.05,           -*  ------|                   ,  0.18,  0.35, 44.68
 0,         SimAnneal,30,  0.20,  0.02,           -*-       |                   ,  0.05,  0.22, 26.17
 0,           exploit,40,  0.20,  0.15,            *        |----------------   ,  0.17,  0.64, 34.79
 0, llm_phi3-mini(3.8B),20,  0.21,  0.02,          -- *-------|                   ,  0.16,  0.36, 404.89
#
 1,           exploit,30,  0.21,  0.12,             *      -|                   ,  0.18,  0.36, 25.48
 1, llm_phi3-mini(3.8B),30,  0.21,  0.02,            -*-------|                   ,  0.20,  0.36, 592.87
 1,           exploit,35,  0.22,  0.13,             *      -|                   ,  0.18,  0.37, 29.95
 1,         SimAnneal,25,  0.22,  0.13,           - *      -|-                  ,  0.18,  0.39, 21.32
 1,            random,50,  0.22,  0.03,            -* ---   |                   ,  0.20,  0.35, 0.00
 1,               rrp,17,  0.22,  0.16,            - *      |--                 ,  0.18,  0.42, 50.24
 1,         SimAnneal,20,  0.22,  0.04,            - *------|--                 ,  0.20,  0.40, 16.13
 1, llm_phi3-mini(3.8B),40,  0.22,  0.01,            - *------|                   ,  0.20,  0.35, 907.56
 1,            random,60,  0.22,  0.02,            - *--    |                   ,  0.19,  0.27, 0.00
 1,           exploit,25,  0.23,  0.13,            - *     -|---                ,  0.18,  0.42, 20.45
 1, llm_llama3-8b(8.0B),30,  0.23,  0.03,            - *------|                   ,  0.20,  0.36, 878.26
 1,            random,55,  0.23,  0.04,            - *---   |                   ,  0.10,  0.41, 0.00
 1,            random,20,  0.23,  0.11,            --*      |-                  ,  0.19,  0.45, 0.00
 1,            random,45,  0.23,  0.03,            --*------|                   ,  0.20,  0.39, 0.00
 1,            random,40,  0.23,  0.02,              *------|-                  ,  0.21,  0.39, 0.00
 1,            random,35,  0.24,  0.13,              *      |--                 ,  0.20,  0.42, 0.00
 1,            random,30,  0.24,  0.07,              *  ----|-                  ,  0.03,  0.38, 0.00
 1,            random,25,  0.25,  0.14,            -  *     |-                  ,  0.00,  0.38, 0.00
 1,           exploit,60,  0.32,  0.13,                   *-|                   ,  0.18,  0.37, 54.11
 1,           exploit,20,  0.33,  0.14,            -       *|---                ,  0.19,  0.63, 16.08
#
 2,           exploit,45,  0.34,  0.13,            -       *|                   ,  0.18,  0.38, 39.54
#
 3, llm_llama3-8b(8.0B),20,  0.36,  0.16,              -      |* -                ,  0.22,  0.41, 627.09
#
 4,           explore,45,  0.38,  0.18,             ---     | *  --             ,  0.04,  0.68, 39.79
 4,           explore,55,  0.39,  0.07,             --------| * --              ,  0.21,  0.45, 49.46
 4,           explore,25,  0.40,  0.06,               ------|- *  ---           ,  0.21,  0.53, 20.71
#
 5,           explore,20,  0.41,  0.05,               ------|- * ----           ,  0.22,  0.57, 15.86
 5,           explore,40,  0.41,  0.05,                -----|- * -              ,  0.20,  0.48, 35.68
 5,           explore,60,  0.41,  0.08,             --------|-  * --            ,  0.20,  0.52, 54.16
 5,           explore,50,  0.42,  0.05,                 ----|-- * -             ,  0.22,  0.50, 44.01
 5,           explore,30,  0.42,  0.06,              -------|-- * ---           ,  0.20,  0.50, 25.38
 5,           explore,35,  0.43,  0.06,               ------|-   *--            ,  0.23,  0.52, 30.94
#
 6,       baseline,86058,  0.43,  0.06,              -------|--  * --           ,  0.03,  0.54, 0.11
