#
 0,         SimAnneal,35,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2.94
 0,         SimAnneal,40,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 3.64
 0,           exploit,45,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 2.93
 0,         SimAnneal,45,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 4.21
 0,           exploit,50,  0.00,  0.00, *-------------      |                   ,  0.00,  0.20, 3.28
 0,         SimAnneal,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 4.83
#
 1,         SimAnneal,55,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 5.64
 1,           exploit,60,  0.00,  0.00, *-------------      |                   ,  0.00,  0.20, 4.19
 1,         SimAnneal,60,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 6.61
#
 2,           exploit,55,  0.00,  0.01, *-------------      |                   ,  0.00,  0.21, 3.63
 2,         SimAnneal,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2.37
 2,         SimAnneal,25,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 1.97
 2,           exploit,20,  0.00,  0.01, *                   |                   ,  0.00,  0.05, 1.10
 2,           exploit,25,  0.00,  0.03, * ------------      |                   ,  0.00,  0.21, 1.43
 2,           exploit,30,  0.00,  0.01, *-------------      |                   ,  0.00,  0.21, 1.83
 2,           exploit,35,  0.00,  0.01, *-------------      |                   ,  0.00,  0.21, 2.16
 2,           exploit,40,  0.00,  0.01, *-------------      |                   ,  0.00,  0.21, 2.60
 2,            random,45,  0.00,  0.01, *                   |                   ,  0.00,  0.03, 0.00
 2,         SimAnneal,20,  0.00,  0.00, *                   |                   ,  0.00,  0.05, 1.37
 2,            random,60,  0.00,  0.01, *                   |                   ,  0.00,  0.01, 0.00
 2, llm_phi3-mini(3.8B),40,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 836.38
#
 3,            random,50,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 0.00
#
 4,            random,55,  0.01,  0.01, *                   |                   ,  0.00,  0.02, 0.00
#
 5, llm_phi3-mini(3.8B),30,  0.01,  0.02, *-                  |                   ,  0.00,  0.03, 596.07
 5,            random,30,  0.01,  0.01, *                   |                   ,  0.00,  0.03, 0.00
 5,            random,40,  0.01,  0.01, *                   |                   ,  0.00,  0.03, 0.00
#
 6,            random,35,  0.01,  0.01, *-                  |                   ,  0.00,  0.04, 0.00
#
 7, llm_llama3-8b(8.0B),30,  0.01,  0.02, *                   |                   ,  0.01,  0.03, 1107.27
 7,            random,25,  0.01,  0.01, *-                  |                   ,  0.00,  0.04, 0.00
 7,               rrp,11,  0.01,  0.01, *--                 |                   ,  0.00,  0.07, 1.06
#
 8, llm_llama3-8b(8.0B),20,  0.01,  0.02,  *-                 |                   ,  0.00,  0.04, 643.04
 8,            random,20,  0.02,  0.02, -*-                 |                   ,  0.00,  0.05, 0.00
 8, llm_phi3-mini(3.8B),20,  0.03,  0.02,  *                  |                   ,  0.01,  0.04, 367.39
 8,           explore,35,  0.04,  0.03, --* ----------------|-                  ,  0.00,  0.46, 2.16
#
 9,           explore,45,  0.05,  0.05, -- * ---------------|                   ,  0.00,  0.32, 3.01
 9,           explore,40,  0.05,  0.07, -  *  ------------- |                   ,  0.00,  0.34, 2.60
 9,           explore,25,  0.06,  0.06,  -  * ----------    |                   ,  0.00,  0.29, 1.46
 9,           explore,55,  0.06,  0.17,  -  *         ------|---                ,  0.00,  0.43, 3.66
#
10,           explore,20,  0.07,  0.06, -    *--------------|--                 ,  0.00,  0.44, 1.10
10,        baseline,1152,  0.07,  0.06,  --  * -------------|-------            ,  0.00,  0.57, 0.00
10,           explore,60,  0.07,  0.06,  --  * -------------|---                ,  0.00,  0.35, 4.16
10,           explore,50,  0.08,  0.05,  -   *--------------|--                 ,  0.00,  0.54, 3.28
10,           explore,30,  0.08,  0.06,      * -------------|--------           ,  0.01,  0.42, 1.80
